Model,Scaler,FS Tech,FS Ratio,OV Tech,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
SGD,Normalizer,PCA,20,,186.0000000001,52.0000000001,1e-10,1e-10,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.7815126050415437,1.9230769230695266e-12,0.6880767401300782,[0.21848739 0.78151261],[ 52 186],0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409
SGD,QT,Chi2,60,SMOTE,186.0000000001,52.0000000001,1e-10,1e-10,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.7815126050415437,1.9230769230695266e-12,0.6880767401300782,[0.21848739 0.78151261],[ 52 186],0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409
SGD,QT,,60,SVMSMOTE,149.0000000001,42.0000000001,37.0000000001,10.0000000001,0.7801047120415916,0.8010752688168806,0.7904509283816546,0.6680672268915966,0.19230769230887573,0.6464011656881198,0.7801047120415916,0.8010752688168806,0.7904509283816546,0.6680672268904738,0.19230769230887573,0.6464011656878952,[0.21848739 0.78151261],[ 52 186],0.7801047120415916,0.8010752688168807,0.7904509283816548,0.6680672268915966,0.19230769230887573,0.6464011656881199
ETs,Normalizer,,30,BorderlineSMOTE,110.0000000001,34.0000000001,76.0000000001,18.0000000001,0.7638888888885224,0.5913978494622674,0.6666666666664647,0.5378151260512605,0.34615384615443784,0.5811844754445905,0.7638888888885224,0.5913978494622674,0.6666666666664647,0.5378151260503566,0.34615384615443784,0.5811844754444098,[0.21848739 0.78151261],[ 52 186],0.7638888888885224,0.5913978494622674,0.6666666666664647,0.5378151260512605,0.34615384615443784,0.5811844754445905
RF,MaxAbs,Chi2,90,SVMSMOTE,177.0000000001,51.0000000001,9.0000000001,1.0000000001,0.7763157894734418,0.9516129032253209,0.8550724637677728,0.7478991596647058,0.019230769232618343,0.670026217072772,0.7763157894734418,0.9516129032253209,0.8550724637677728,0.747899159663449,0.019230769232618343,0.6700262170725206,[0.21848739 0.78151261],[ 52 186],0.7763157894734418,0.9516129032253209,0.8550724637677728,0.7478991596647058,0.019230769232618343,0.670026217072772
KNN,QT,,50,SMOTE,159.0000000001,44.0000000001,27.0000000001,8.0000000001,0.7832512315268145,0.8548387096770379,0.8174807197940179,0.7016806722697478,0.1538461538474852,0.6622194974230207,0.7832512315268145,0.8548387096770379,0.8174807197940179,0.7016806722685687,0.1538461538474852,0.6622194974227849,[0.21848739 0.78151261],[ 52 186],0.7832512315268145,0.8548387096770379,0.8174807197940179,0.7016806722697478,0.1538461538474852,0.6622194974230207
ETs,Standard,,90,ADASYN,115.0000000001,31.0000000001,71.0000000001,21.0000000001,0.7876712328763182,0.6182795698923459,0.692771084337117,0.5714285714294117,0.40384615384652367,0.6147993224763433,0.7876712328763182,0.6182795698923459,0.692771084337117,0.5714285714284514,0.40384615384652367,0.6147993224761512,[0.21848739 0.78151261],[ 52 186],0.7876712328763182,0.6182795698923459,0.692771084337117,0.5714285714294117,0.40384615384652367,0.6147993224763433
ETs,Robust,ANOVA,70,,186.0000000001,52.0000000001,1e-10,1e-10,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.7815126050415437,1.9230769230695266e-12,0.6880767401300782,[0.21848739 0.78151261],[ 52 186],0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409
SGD,MaxAbs,Chi2,90,,186.0000000001,52.0000000001,1e-10,1e-10,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.7815126050415437,1.9230769230695266e-12,0.6880767401300782,[0.21848739 0.78151261],[ 52 186],0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409
KNN,QT,Chi2,40,BorderlineSMOTE,153.0000000001,46.0000000001,33.0000000001,6.0000000001,0.7688442211052575,0.8225806451609435,0.7948051948048886,0.6680672268915966,0.11538461538609467,0.6339363806697562,0.7688442211052575,0.8225806451609435,0.7948051948048886,0.6680672268904738,0.11538461538609467,0.6339363806695316,[0.21848739 0.78151261],[ 52 186],0.7688442211052575,0.8225806451609434,0.7948051948048885,0.6680672268915966,0.11538461538609467,0.6339363806697561
