Model,Scaler,FS Tech,FS Ratio,OV Tech,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
AB,MinMax,,30,,171.0000000001,36.0000000001,5.0000000001,12.0000000001,0.8260869565214242,0.9715909090903733,0.8929503916444982,0.8169642857151784,0.25000000000104167,0.7515185085945031,0.8260869565214242,0.9715909090903733,0.8929503916444982,0.8169642857137198,0.25000000000104167,0.7515185085942114,[0.21428571 0.78571429],[ 48 176],0.8260869565214242,0.9715909090903732,0.8929503916444982,0.8169642857151783,0.25000000000104167,0.7515185085945031
MLP,Standard,PCA,80,BorderlineSMOTE,120.0000000001,21.0000000001,56.0000000001,27.0000000001,0.8510638297867361,0.6818181818179752,0.7570977917977828,0.6562500000008928,0.5624999999997395,0.7017459606806253,0.8510638297867361,0.6818181818179752,0.7570977917977828,0.656249999999721,0.5624999999997395,0.7017459606803909,[0.21428571 0.78571429],[ 48 176],0.8510638297867361,0.681818181817975,0.7570977917977827,0.6562500000008928,0.5624999999997395,0.7017459606806253
RF,Robust,MI,30,BorderlineSMOTE,142.0000000001,30.0000000001,34.0000000001,18.0000000001,0.8255813953484586,0.8068181818178332,0.8160919540226252,0.714285714286607,0.3750000000005208,0.707555449095209,0.8255813953484586,0.8068181818178332,0.8160919540226252,0.7142857142853317,0.3750000000005208,0.7075554490949539,[0.21428571 0.78571429],[ 48 176],0.8255813953484585,0.8068181818178332,0.8160919540226252,0.714285714286607,0.3750000000005208,0.707555449095209
MLP,QT,ANOVA,90,SMOTE,119.0000000001,15.0000000001,57.0000000001,33.0000000001,0.8880597014919581,0.6761363636361635,0.7677419354835255,0.6785714285723214,0.6874999999992187,0.7396018858366374,0.8880597014919581,0.6761363636361635,0.7677419354835255,0.6785714285711096,0.6874999999992187,0.7396018858363951,[0.21428571 0.78571429],[ 48 176],0.888059701491958,0.6761363636361635,0.7677419354835255,0.6785714285723214,0.6874999999992187,0.7396018858366374
SGD,Normalizer,MI,80,BorderlineSMOTE,1e-10,1e-10,176.0000000001,48.0000000001,0.5,5.681818181811726e-13,1.1363636363610538e-12,0.21428571428660717,0.9999999999979167,0.34285714285724567,0.5,5.681818181811726e-13,1.1363636363610538e-12,0.2142857142862245,0.9999999999979167,0.3428571428571692,[0.21428571 0.78571429],[ 48 176],0.5,5.681818181811726e-13,1.1363636363610538e-12,0.21428571428660717,0.9999999999979167,0.34285714285724567
SGD,MinMax,PCA,30,SVMSMOTE,108.0000000001,25.0000000001,68.0000000001,23.0000000001,0.8120300751875007,0.6136363636362345,0.6990291262133346,0.5848214285723214,0.47916666666675345,0.637736732055229,0.8120300751875007,0.6136363636362345,0.6990291262133346,0.5848214285712771,0.47916666666675345,0.63773673205502,[0.21428571 0.78571429],[ 48 176],0.8120300751875007,0.6136363636362345,0.6990291262133346,0.5848214285723214,0.47916666666675345,0.637736732055229
KNN,MinMax,Chi2,70,SMOTE,140.0000000001,30.0000000001,36.0000000001,18.0000000001,0.8235294117643253,0.7954545454542098,0.8092485549129372,0.7053571428580356,0.3750000000005208,0.7017179309980057,0.8235294117643253,0.7954545454542098,0.8092485549129372,0.7053571428567762,0.3750000000005208,0.7017179309977538,[0.21428571 0.78571429],[ 48 176],0.8235294117643253,0.7954545454542097,0.8092485549129373,0.7053571428580356,0.3750000000005208,0.7017179309980057
DT,Robust,,50,BorderlineSMOTE,137.0000000001,31.0000000001,39.0000000001,17.0000000001,0.815476190475815,0.7784090909087745,0.7965116279066319,0.6875000000008927,0.3541666666672743,0.6864127151918777,0.815476190475815,0.7784090909087745,0.7965116279066319,0.6874999999996653,0.3541666666672743,0.6864127151916322,[0.21428571 0.78571429],[ 48 176],0.815476190475815,0.7784090909087744,0.796511627906632,0.6875000000008927,0.35416666666727425,0.6864127151918776
KNN,Standard,PCA,50,BorderlineSMOTE,137.0000000001,26.0000000001,39.0000000001,22.0000000001,0.8404907975455945,0.7784090909087745,0.8082595870202853,0.7098214285723213,0.45833333333350695,0.7190628474760966,0.8404907975455945,0.7784090909087745,0.8082595870202853,0.7098214285710539,0.45833333333350695,0.7190628474758431,[0.21428571 0.78571429],[ 48 176],0.8404907975455944,0.7784090909087744,0.8082595870202851,0.7098214285723213,0.4583333333335069,0.7190628474760965
MLP,MinMax,,10,,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
AB,Robust,ANOVA,70,,172.0000000001,43.0000000001,4.0000000001,5.0000000001,0.7999999999997209,0.977272727272185,0.8797953964190488,0.7901785714294641,0.10416666666831596,0.7102826723577469,0.7999999999997209,0.977272727272185,0.8797953964190488,0.7901785714280534,0.10416666666831596,0.7102826723574648,[0.21428571 0.78571429],[ 48 176],0.7999999999997209,0.9772727272721848,0.8797953964190488,0.7901785714294641,0.10416666666831596,0.7102826723577469
RF,QT,RFE,70,SVMSMOTE,142.0000000001,32.0000000001,34.0000000001,16.0000000001,0.8160919540226252,0.8068181818178332,0.8114285714282155,0.7053571428580356,0.3333333333340277,0.6946058366921475,0.8160919540226252,0.8068181818178332,0.8114285714282155,0.7053571428567762,0.3333333333340277,0.6946058366918957,[0.21428571 0.78571429],[ 48 176],0.8160919540226252,0.8068181818178332,0.8114285714282155,0.7053571428580356,0.3333333333340277,0.6946058366921475
MLP,Normalizer,PCA,30,SVMSMOTE,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
SGD,,RF,10,SMOTE,1e-10,1e-10,176.0000000001,48.0000000001,0.5,5.681818181811726e-13,1.1363636363610538e-12,0.21428571428660717,0.9999999999979167,0.34285714285724567,0.5,5.681818181811726e-13,1.1363636363610538e-12,0.2142857142862245,0.9999999999979167,0.3428571428571692,[0.21428571 0.78571429],[ 48 176],0.5,5.681818181811726e-13,1.1363636363610538e-12,0.21428571428660717,0.9999999999979167,0.34285714285724567
SGD,MinMax,Chi2,10,SMOTE,53.0000000001,10.0000000001,123.0000000001,38.0000000001,0.8412698412687578,0.30113636363658963,0.443514644351559,0.4062500000008929,0.7916666666654514,0.5567675031846501,0.8412698412687578,0.30113636363658963,0.443514644351559,0.4062500000001674,0.7916666666654514,0.5567675031845051,[0.21428571 0.78571429],[ 48 176],0.8412698412687578,0.30113636363658963,0.443514644351559,0.4062500000008929,0.7916666666654514,0.5567675031846501
RF,MinMax,RFE,40,ADASYN,136.0000000001,31.0000000001,40.0000000001,17.0000000001,0.8143712574846534,0.7727272727269628,0.7930029154515533,0.683035714286607,0.3541666666672743,0.6834607653234103,0.8143712574846534,0.7727272727269628,0.7930029154515533,0.6830357142853875,0.3541666666672743,0.6834607653231664,[0.21428571 0.78571429],[ 48 176],0.8143712574846534,0.7727272727269627,0.7930029154515533,0.683035714286607,0.35416666666727425,0.6834607653234102
SGD,QT,MI,30,SMOTE,102.0000000001,19.0000000001,74.0000000001,29.0000000001,0.8429752066110033,0.5795454545453641,0.6868686868684352,0.5848214285723214,0.6041666666662326,0.6596754886526713,0.8429752066110033,0.5795454545453641,0.6868686868684352,0.5848214285712771,0.6041666666662326,0.6596754886524624,[0.21428571 0.78571429],[ 48 176],0.8429752066110033,0.5795454545453641,0.6868686868684352,0.5848214285723214,0.6041666666662326,0.6596754886526713
ETs,,MI,80,ADASYN,1e-10,1e-10,176.0000000001,48.0000000001,0.5,5.681818181811726e-13,1.1363636363610538e-12,0.21428571428660717,0.9999999999979167,0.34285714285724567,0.5,5.681818181811726e-13,1.1363636363610538e-12,0.2142857142862245,0.9999999999979167,0.3428571428571692,[0.21428571 0.78571429],[ 48 176],0.5,5.681818181811726e-13,1.1363636363610538e-12,0.21428571428660717,0.9999999999979167,0.34285714285724567
AB,Robust,ANOVA,80,SMOTE,153.0000000001,34.0000000001,23.0000000001,14.0000000001,0.818181818181478,0.8693181818177622,0.8429752066111924,0.745535714286607,0.2916666666675347,0.7135355175129149,0.818181818181478,0.8693181818177622,0.8429752066111924,0.7455357142852759,0.2916666666675347,0.7135355175126487,[0.21428571 0.78571429],[ 48 176],0.818181818181478,0.8693181818177622,0.8429752066111924,0.745535714286607,0.2916666666675347,0.7135355175129149
MLP,,ANOVA,20,BorderlineSMOTE,1e-10,1e-10,176.0000000001,48.0000000001,0.5,5.681818181811726e-13,1.1363636363610538e-12,0.21428571428660717,0.9999999999979167,0.34285714285724567,0.5,5.681818181811726e-13,1.1363636363610538e-12,0.2142857142862245,0.9999999999979167,0.3428571428571692,[0.21428571 0.78571429],[ 48 176],0.5,5.681818181811726e-13,1.1363636363610538e-12,0.21428571428660717,0.9999999999979167,0.34285714285724567
DT,MaxAbs,RFE,20,BorderlineSMOTE,118.0000000001,30.0000000001,58.0000000001,18.0000000001,0.7972972972968956,0.6704545454543518,0.7283950617281132,0.60714285714375,0.3750000000005208,0.6356579523247263,0.7972972972968956,0.6704545454543518,0.7283950617281132,0.6071428571426658,0.3750000000005208,0.6356579523245094,[0.21428571 0.78571429],[ 48 176],0.7972972972968956,0.6704545454543518,0.7283950617281132,0.60714285714375,0.3750000000005208,0.6356579523247263
AB,QT,ANOVA,90,,171.0000000001,40.0000000001,5.0000000001,8.0000000001,0.810426540284066,0.9715909090903733,0.8837209302321617,0.7991071428580356,0.16666666666805555,0.7263024378265384,0.810426540284066,0.9715909090903733,0.8837209302321617,0.7991071428566088,0.16666666666805555,0.7263024378262531,[0.21428571 0.78571429],[ 48 176],0.8104265402840659,0.9715909090903732,0.8837209302321615,0.7991071428580356,0.16666666666805555,0.7263024378265384
AB,QT,ANOVA,90,SMOTE,130.0000000001,23.0000000001,46.0000000001,25.0000000001,0.8496732026139221,0.7386363636360925,0.7902735562306501,0.6919642857151784,0.5208333333332466,0.7182761483058179,0.8496732026139221,0.7386363636360925,0.7902735562306501,0.691964285713943,0.5208333333332466,0.7182761483055707,[0.21428571 0.78571429],[ 48 176],0.8496732026139221,0.7386363636360925,0.7902735562306501,0.6919642857151784,0.5208333333332466,0.7182761483058179
