Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
MLP,Normalizer,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
MLP,Standard,168.0000000001,34.0000000001,8.0000000001,14.0000000001,0.8316831683165034,0.9545454545449381,0.8888888888884774,0.8125000000008927,0.2916666666675347,0.7558568356836692,0.8316831683165034,0.9545454545449381,0.8888888888884774,0.812499999999442,0.2916666666675347,0.7558568356833792,[0.21428571 0.78571429],[ 48 176],0.8316831683165034,0.9545454545449381,0.8888888888884774,0.8125000000008927,0.2916666666675347,0.7558568356836692
MLP,MinMax,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
MLP,Robust,169.0000000001,37.0000000001,7.0000000001,11.0000000001,0.8203883495142521,0.9602272727267498,0.8848167539262987,0.8035714285723213,0.22916666666779512,0.7396340942814834,0.8203883495142521,0.9602272727267498,0.8848167539262987,0.8035714285708866,0.22916666666779512,0.7396340942811964,[0.21428571 0.78571429],[ 48 176],0.820388349514252,0.9602272727267498,0.8848167539262985,0.8035714285723213,0.2291666666677951,0.7396340942814834
MLP,MaxAbs,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
MLP,QT,172.0000000001,42.0000000001,4.0000000001,6.0000000001,0.8037383177567256,0.977272727272185,0.8820512820508902,0.7946428571437499,0.1250000000015625,0.7165410368450226,0.8037383177567256,0.977272727272185,0.8820512820508902,0.7946428571423311,0.1250000000015625,0.7165410368447388,[0.21428571 0.78571429],[ 48 176],0.8037383177567254,0.9772727272721848,0.8820512820508901,0.7946428571437499,0.1250000000015625,0.7165410368450226
RF,Normalizer,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
RF,Standard,161.0000000001,39.0000000001,15.0000000001,9.0000000001,0.8049999999996951,0.914772727272256,0.8563829787230253,0.7589285714294641,0.18750000000130207,0.7045168554851485,0.8049999999996951,0.914772727272256,0.8563829787230253,0.7589285714281091,0.18750000000130207,0.7045168554848775,[0.21428571 0.78571429],[ 48 176],0.8049999999996951,0.914772727272256,0.8563829787230253,0.7589285714294641,0.18750000000130207,0.7045168554851485
RF,MinMax,162.0000000001,34.0000000001,14.0000000001,14.0000000001,0.8265306122445648,0.9204545454540677,0.8709677419350851,0.7857142857151784,0.2916666666675347,0.739066770403286,0.8265306122445648,0.9204545454540677,0.8709677419350851,0.7857142857137756,0.2916666666675347,0.7390667704030056,[0.21428571 0.78571429],[ 48 176],0.8265306122445648,0.9204545454540677,0.8709677419350851,0.7857142857151783,0.2916666666675347,0.739066770403286
RF,Robust,157.0000000001,36.0000000001,19.0000000001,12.0000000001,0.8134715025903487,0.892045454545009,0.8509485094847145,0.7544642857151784,0.25000000000104167,0.7121859504672585,0.8134715025903487,0.892045454545009,0.8509485094847145,0.7544642857138314,0.25000000000104167,0.7121859504669892,[0.21428571 0.78571429],[ 48 176],0.8134715025903487,0.892045454545009,0.8509485094847145,0.7544642857151783,0.25000000000104167,0.7121859504672585
RF,MaxAbs,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
RF,QT,161.0000000001,37.0000000001,15.0000000001,11.0000000001,0.8131313131309968,0.914772727272256,0.8609625668445338,0.7678571428580356,0.22916666666779512,0.7171780833547234,0.8131313131309968,0.914772727272256,0.8609625668445338,0.7678571428566646,0.22916666666779512,0.7171780833544492,[0.21428571 0.78571429],[ 48 176],0.8131313131309968,0.914772727272256,0.8609625668445338,0.7678571428580356,0.2291666666677951,0.7171780833547234
AB,Normalizer,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
AB,Standard,169.0000000001,37.0000000001,7.0000000001,11.0000000001,0.8203883495142521,0.9602272727267498,0.8848167539262987,0.8035714285723213,0.22916666666779512,0.7396340942814834,0.8203883495142521,0.9602272727267498,0.8848167539262987,0.8035714285708866,0.22916666666779512,0.7396340942811964,[0.21428571 0.78571429],[ 48 176],0.820388349514252,0.9602272727267498,0.8848167539262985,0.8035714285723213,0.2291666666677951,0.7396340942814834
AB,MinMax,174.0000000001,37.0000000001,2.0000000001,11.0000000001,0.8246445497627255,0.9886363636358084,0.8992248062011378,0.8258928571437499,0.22916666666779512,0.7535130486822432,0.8246445497627255,0.9886363636358084,0.8992248062011378,0.8258928571422752,0.22916666666779512,0.7535130486819483,[0.21428571 0.78571429],[ 48 176],0.8246445497627254,0.9886363636358083,0.8992248062011376,0.8258928571437499,0.2291666666677951,0.7535130486822432
AB,Robust,170.0000000001,37.0000000001,6.0000000001,11.0000000001,0.8212560386470327,0.9659090909085616,0.8877284595296213,0.808035714286607,0.22916666666779512,0.7424191940079234,0.8212560386470327,0.9659090909085616,0.8877284595296213,0.8080357142851643,0.22916666666779512,0.7424191940076349,[0.21428571 0.78571429],[ 48 176],0.8212560386470327,0.9659090909085616,0.8877284595296213,0.808035714286607,0.2291666666677951,0.7424191940079234
AB,MaxAbs,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
AB,QT,175.0000000001,38.0000000001,1.0000000001,10.0000000001,0.8215962441311535,0.9943181818176202,0.8997429305908486,0.8258928571437499,0.2083333333345486,0.7499767094035842,0.8215962441311535,0.9943181818176202,0.8997429305908486,0.8258928571422752,0.2083333333345486,0.7499767094032893,[0.21428571 0.78571429],[ 48 176],0.8215962441311534,0.9943181818176201,0.8997429305908486,0.8258928571437499,0.2083333333345486,0.7499767094035841
KNN,Normalizer,161.0000000001,30.0000000001,15.0000000001,18.0000000001,0.8429319371724158,0.914772727272256,0.8773841961848748,0.7991071428580356,0.3750000000005208,0.7618392006976206,0.8429319371724158,0.914772727272256,0.8773841961848748,0.7991071428566088,0.3750000000005208,0.7618392006973352,[0.21428571 0.78571429],[ 48 176],0.8429319371724157,0.914772727272256,0.8773841961848747,0.7991071428580356,0.3750000000005208,0.7618392006976206
KNN,Standard,164.0000000001,40.0000000001,12.0000000001,8.0000000001,0.803921568627153,0.9318181818176912,0.8631578947364599,0.7678571428580356,0.16666666666805555,0.7066842909414791,0.803921568627153,0.9318181818176912,0.8631578947364599,0.7678571428566646,0.16666666666805555,0.7066842909412048,[0.21428571 0.78571429],[ 48 176],0.8039215686271529,0.9318181818176912,0.8631578947364598,0.7678571428580356,0.16666666666805555,0.7066842909414791
KNN,MinMax,168.0000000001,41.0000000001,8.0000000001,7.0000000001,0.8038277511958816,0.9545454545449381,0.8727272727268856,0.7812500000008927,0.14583333333480902,0.7116367623606814,0.8038277511958816,0.9545454545449381,0.8727272727268856,0.7812499999994978,0.14583333333480902,0.7116367623604025,[0.21428571 0.78571429],[ 48 176],0.8038277511958816,0.9545454545449381,0.8727272727268856,0.7812500000008927,0.14583333333480902,0.7116367623606814
KNN,Robust,163.0000000001,33.0000000001,13.0000000001,15.0000000001,0.8316326530608862,0.9261363636358795,0.8763440860211008,0.7946428571437499,0.3125000000007812,0.7482511919724795,0.8316326530608862,0.9261363636358795,0.8763440860211008,0.7946428571423311,0.3125000000007812,0.7482511919721957,[0.21428571 0.78571429],[ 48 176],0.8316326530608862,0.9261363636358795,0.8763440860211008,0.7946428571437499,0.3125000000007812,0.7482511919724795
KNN,MaxAbs,159.0000000001,35.0000000001,17.0000000001,13.0000000001,0.81958762886565,0.9034090909086325,0.8594594594590709,0.7678571428580356,0.27083333333428816,0.7242293310851354,0.81958762886565,0.9034090909086325,0.8594594594590709,0.7678571428566646,0.27083333333428816,0.7242293310848613,[0.21428571 0.78571429],[ 48 176],0.81958762886565,0.9034090909086325,0.8594594594590709,0.7678571428580356,0.27083333333428816,0.7242293310851354
KNN,QT,169.0000000001,42.0000000001,7.0000000001,6.0000000001,0.8009478672982929,0.9602272727267498,0.8733850129195107,0.7812500000008927,0.1250000000015625,0.7081620305894016,0.8009478672982929,0.9602272727267498,0.8733850129195107,0.7812499999994978,0.1250000000015625,0.7081620305891227,[0.21428571 0.78571429],[ 48 176],0.8009478672982929,0.9602272727267498,0.8733850129195107,0.7812500000008927,0.1250000000015625,0.7081620305894016
DT,Normalizer,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
DT,Standard,140.0000000001,32.0000000001,36.0000000001,16.0000000001,0.813953488371728,0.7954545454542098,0.8045977011490753,0.6964285714294641,0.3333333333340277,0.688753527947701,0.813953488371728,0.7954545454542098,0.8045977011490753,0.6964285714282207,0.3333333333340277,0.6887535279474523,[0.21428571 0.78571429],[ 48 176],0.8139534883717279,0.7954545454542097,0.8045977011490751,0.6964285714294641,0.3333333333340277,0.688753527947701
DT,MinMax,157.0000000001,35.0000000001,19.0000000001,13.0000000001,0.8177083333330024,0.892045454545009,0.8532608695648334,0.7589285714294641,0.27083333333428816,0.7185553124413195,0.8177083333330024,0.892045454545009,0.8532608695648334,0.7589285714281091,0.27083333333428816,0.7185553124410485,[0.21428571 0.78571429],[ 48 176],0.8177083333330024,0.892045454545009,0.8532608695648334,0.7589285714294641,0.27083333333428816,0.7185553124413195
DT,Robust,152.0000000001,34.0000000001,24.0000000001,14.0000000001,0.8172043010749278,0.8636363636359504,0.8397790055244864,0.7410714285723213,0.2916666666675347,0.7106715530950442,0.8172043010749278,0.8636363636359504,0.8397790055244864,0.7410714285709982,0.2916666666675347,0.7106715530947795,[0.21428571 0.78571429],[ 48 176],0.8172043010749277,0.8636363636359503,0.8397790055244864,0.7410714285723213,0.2916666666675347,0.7106715530950442
DT,MaxAbs,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
DT,QT,147.0000000001,34.0000000001,29.0000000001,14.0000000001,0.8121546961322518,0.8352272727268918,0.8235294117643434,0.7187500000008927,0.2916666666675347,0.6962656094583829,0.8121546961322518,0.8352272727268918,0.8235294117643434,0.7187499999996094,0.2916666666675347,0.6962656094581263,[0.21428571 0.78571429],[ 48 176],0.8121546961322518,0.8352272727268918,0.8235294117643434,0.7187500000008927,0.2916666666675347,0.6962656094583829
ETs,Normalizer,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
ETs,Standard,150.0000000001,32.0000000001,26.0000000001,16.0000000001,0.824175824175468,0.8522727272723271,0.8379888268152649,0.7410714285723213,0.3333333333340277,0.7177684280338819,0.824175824175468,0.8522727272723271,0.8379888268152649,0.7410714285709982,0.3333333333340277,0.7177684280336172,[0.21428571 0.78571429],[ 48 176],0.824175824175468,0.8522727272723271,0.8379888268152649,0.7410714285723213,0.3333333333340277,0.7177684280338819
ETs,MinMax,156.0000000001,28.0000000001,20.0000000001,20.0000000001,0.8478260869561437,0.8863636363631974,0.8666666666662592,0.7857142857151784,0.4166666666670139,0.7606474684735585,0.8478260869561437,0.8863636363631974,0.8666666666662592,0.7857142857137756,0.4166666666670139,0.760647468473278,[0.21428571 0.78571429],[ 48 176],0.8478260869561436,0.8863636363631973,0.8666666666662591,0.7857142857151783,0.4166666666670139,0.7606474684735585
ETs,Robust,149.0000000001,28.0000000001,27.0000000001,20.0000000001,0.8418079096041337,0.8465909090905153,0.8441926345605166,0.7544642857151784,0.4166666666670139,0.7407444811274716,0.8418079096041337,0.8465909090905153,0.8441926345605166,0.7544642857138314,0.4166666666670139,0.7407444811272021,[0.21428571 0.78571429],[ 48 176],0.8418079096041337,0.8465909090905153,0.8441926345605166,0.7544642857151783,0.4166666666670139,0.7407444811274715
ETs,MaxAbs,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
ETs,QT,148.0000000001,34.0000000001,28.0000000001,14.0000000001,0.813186813186469,0.8409090909087036,0.8268156424577354,0.7232142857151784,0.2916666666675347,0.6991584997871243,0.813186813186469,0.8409090909087036,0.8268156424577354,0.7232142857138871,0.2916666666675347,0.6991584997868661,[0.21428571 0.78571429],[ 48 176],0.8131868131864689,0.8409090909087036,0.8268156424577354,0.7232142857151784,0.2916666666675347,0.6991584997871241
SGD,Normalizer,176.0000000001,48.0000000001,1e-10,1e-10,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151784,2.083333333324653e-12,0.6902857142860689,0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857137756,2.083333333324653e-12,0.6902857142857883,[0.21428571 0.78571429],[ 48 176],0.7857142857140307,0.9999999999994319,0.8799999999996201,0.7857142857151783,2.083333333324653e-12,0.6902857142860689
SGD,Standard,154.0000000001,33.0000000001,22.0000000001,15.0000000001,0.8235294117643599,0.8749999999995739,0.8484848484844646,0.7544642857151784,0.3125000000007812,0.7227957091928716,0.8235294117643599,0.8749999999995739,0.8484848484844646,0.7544642857138314,0.3125000000007812,0.7227957091926022,[0.21428571 0.78571429],[ 48 176],0.8235294117643599,0.8749999999995739,0.8484848484844646,0.7544642857151783,0.3125000000007812,0.7227957091928715
