Model,Scaler,FS Tech,FS Ratio,OV Tech,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
AB,MaxAbs,Chi2,50,,180.0000000001,38.0000000001,6.0000000001,14.0000000001,0.8256880733941967,0.9677419354833681,0.8910891089105039,0.8151260504210083,0.2692307692316568,0.7537751874881468,0.8256880733941967,0.9677419354833681,0.8910891089105039,0.8151260504196385,0.2692307692316568,0.7537751874878728,[0.21848739 0.78151261],[ 52 186],0.8256880733941967,0.9677419354833681,0.8910891089105039,0.8151260504210083,0.2692307692316568,0.7537751874881468
AB,Normalizer,ANOVA,30,ADASYN,119.0000000001,16.0000000001,67.0000000001,36.0000000001,0.8814814814809163,0.6397849462364088,0.7414330218065527,0.651260504202521,0.6923076923069527,0.7212535292066702,0.8814814814809163,0.6397849462364088,0.7414330218065527,0.6512605042014264,0.6923076923069527,0.7212535292064514,[0.21848739 0.78151261],[ 52 186],0.8814814814809163,0.6397849462364088,0.7414330218065527,0.651260504202521,0.6923076923069527,0.7212535292066702
RF,,Chi2,90,BorderlineSMOTE,133.0000000001,26.0000000001,53.0000000001,26.0000000001,0.8364779874209605,0.715053763440629,0.771014492753309,0.6680672268915966,0.5,0.698122694101299,0.8364779874209605,0.715053763440629,0.771014492753309,0.6680672268904738,0.5,0.6981226941010744,[0.21848739 0.78151261],[ 52 186],0.8364779874209605,0.715053763440629,0.771014492753309,0.6680672268915966,0.5,0.698122694101299
ETs,MinMax,Chi2,70,,171.0000000001,37.0000000001,15.0000000001,15.0000000001,0.8221153846150749,0.9193548387092265,0.8680203045681544,0.781512605042857,0.28846153846235206,0.7358929342795328,0.8221153846150749,0.9193548387092265,0.8680203045681544,0.7815126050415437,0.28846153846235206,0.7358929342792703,[0.21848739 0.78151261],[ 52 186],0.8221153846150749,0.9193548387092265,0.8680203045681544,0.781512605042857,0.28846153846235206,0.7358929342795328
MLP,MaxAbs,MI,50,,177.0000000001,39.0000000001,9.0000000001,13.0000000001,0.8194444444441487,0.9516129032253209,0.8805970149249944,0.7983193277319327,0.2500000000009615,0.7399947380654717,0.8194444444441487,0.9516129032253209,0.8805970149249944,0.7983193277305911,0.2500000000009615,0.7399947380652032,[0.21848739 0.78151261],[ 52 186],0.8194444444441487,0.9516129032253209,0.8805970149249944,0.7983193277319327,0.2500000000009615,0.7399947380654717
SGD,MaxAbs,ANOVA,90,,183.0000000001,49.0000000001,3.0000000001,3.0000000001,0.7887931034480269,0.9838709677414152,0.8755980861240424,0.781512605042857,0.05769230769400887,0.6974934140100701,0.7887931034480269,0.9838709677414152,0.8755980861240424,0.7815126050415437,0.05769230769400887,0.6974934140098075,[0.21848739 0.78151261],[ 52 186],0.7887931034480269,0.9838709677414152,0.8755980861240424,0.781512605042857,0.05769230769400887,0.6974934140100701
KNN,MinMax,MI,30,SMOTE,119.0000000001,13.0000000001,67.0000000001,39.0000000001,0.9015151515145432,0.6397849462364088,0.7484276729556624,0.6638655462193277,0.7499999999990384,0.7407186633849961,0.9015151515145432,0.6397849462364088,0.7484276729556624,0.663865546218212,0.7499999999990384,0.7407186633847729,[0.21848739 0.78151261],[ 52 186],0.9015151515145432,0.6397849462364088,0.7484276729556624,0.6638655462193277,0.7499999999990384,0.7407186633849961
AB,MinMax,ANOVA,90,SMOTE,121.0000000001,21.0000000001,65.0000000001,31.0000000001,0.8521126760558421,0.6505376344084403,0.7378048780484905,0.6386554621857143,0.5961538461534763,0.6950528993703926,0.8521126760558421,0.6505376344084403,0.7378048780484905,0.6386554621846409,0.5961538461534763,0.695052899370178,[0.21848739 0.78151261],[ 52 186],0.8521126760558421,0.6505376344084403,0.7378048780484905,0.6386554621857143,0.5961538461534763,0.6950528993703926
AB,Standard,,40,,179.0000000001,42.0000000001,7.0000000001,10.0000000001,0.8099547511309413,0.9623655913973523,0.8796068796065066,0.7941176470596638,0.19230769230887573,0.7276705123006678,0.8099547511309413,0.9623655913973523,0.8796068796065066,0.7941176470583293,0.19230769230887573,0.727670512300401,[0.21848739 0.78151261],[ 52 186],0.8099547511309413,0.9623655913973523,0.8796068796065066,0.7941176470596638,0.19230769230887573,0.7276705123006678
AB,,RF,30,SMOTE,119.0000000001,16.0000000001,67.0000000001,36.0000000001,0.8814814814809163,0.6397849462364088,0.7414330218065527,0.651260504202521,0.6923076923069527,0.7212535292066702,0.8814814814809163,0.6397849462364088,0.7414330218065527,0.6512605042014264,0.6923076923069527,0.7212535292064514,[0.21848739 0.78151261],[ 52 186],0.8814814814809163,0.6397849462364088,0.7414330218065527,0.651260504202521,0.6923076923069527,0.7212535292066702
DT,MaxAbs,PCA,50,ADASYN,133.0000000001,23.0000000001,53.0000000001,29.0000000001,0.8525641025636506,0.715053763440629,0.7777777777774528,0.6806722689084033,0.5576923076920858,0.7167520440764444,0.8525641025636506,0.715053763440629,0.7777777777774528,0.6806722689072594,0.5576923076920858,0.7167520440762156,[0.21848739 0.78151261],[ 52 186],0.8525641025636506,0.715053763440629,0.7777777777774528,0.6806722689084033,0.5576923076920858,0.7167520440764444
SGD,Normalizer,LDA,20,,184.0000000001,51.0000000001,2.0000000001,1.0000000001,0.7829787234040145,0.989247311827431,0.8741092636576018,0.7773109243705881,0.019230769232618343,0.6885753984984507,0.7829787234040145,0.989247311827431,0.8741092636576018,0.7773109243692818,0.019230769232618343,0.6885753984981895,[0.21848739 0.78151261],[ 52 186],0.7829787234040145,0.989247311827431,0.8741092636576018,0.7773109243705881,0.019230769232618343,0.6885753984984507
AB,QT,ANOVA,40,SMOTE,126.0000000001,16.0000000001,60.0000000001,36.0000000001,0.8873239436614263,0.6774193548385189,0.7682926829265021,0.6806722689084034,0.6923076923069527,0.7412031885283608,0.8873239436614263,0.6774193548385189,0.7682926829265021,0.6806722689072594,0.6923076923069527,0.7412031885281319,[0.21848739 0.78151261],[ 52 186],0.8873239436614262,0.6774193548385189,0.768292682926502,0.6806722689084034,0.6923076923069527,0.7412031885283608
KNN,Standard,MI,40,SVMSMOTE,143.0000000001,23.0000000001,43.0000000001,29.0000000001,0.8614457831320947,0.7688172043007863,0.8124999999996451,0.7226890756310923,0.5576923076920858,0.7446288741511409,0.8614457831320947,0.7688172043007863,0.8124999999996451,0.7226890756298778,0.5576923076920858,0.744628874150898,[0.21848739 0.78151261],[ 52 186],0.8614457831320947,0.7688172043007863,0.8124999999996451,0.7226890756310923,0.5576923076920858,0.7446288741511409
KNN,QT,ANOVA,70,SMOTE,138.0000000001,21.0000000001,48.0000000001,31.0000000001,0.8679245283014241,0.7419354838707076,0.7999999999996522,0.7100840336142856,0.5961538461534763,0.7432195783879092,0.8679245283014241,0.7419354838707076,0.7999999999996522,0.7100840336130924,0.5961538461534763,0.7432195783876705,[0.21848739 0.78151261],[ 52 186],0.8679245283014241,0.7419354838707077,0.7999999999996523,0.7100840336142856,0.5961538461534763,0.7432195783879092
ETs,Standard,PCA,80,,171.0000000001,38.0000000001,15.0000000001,14.0000000001,0.8181818181815137,0.9193548387092265,0.8658227848097562,0.7773109243705881,0.2692307692316568,0.7299802270605482,0.8181818181815137,0.9193548387092265,0.8658227848097562,0.7773109243692818,0.2692307692316568,0.7299802270602871,[0.21848739 0.78151261],[ 52 186],0.8181818181815137,0.9193548387092265,0.8658227848097562,0.7773109243705881,0.2692307692316568,0.7299802270605482
KNN,MinMax,,70,,169.0000000001,33.0000000001,17.0000000001,19.0000000001,0.8366336633660034,0.9086021505371951,0.8711340206181741,0.7899159663873948,0.36538461538513306,0.7543340832587802,0.8366336633660034,0.9086021505371951,0.8711340206181741,0.7899159663860674,0.36538461538513306,0.7543340832585146,[0.21848739 0.78151261],[ 52 186],0.8366336633660034,0.9086021505371951,0.8711340206181741,0.7899159663873948,0.36538461538513306,0.7543340832587802
RF,Normalizer,MI,70,SVMSMOTE,26.0000000001,4.0000000001,160.0000000001,48.0000000001,0.8666666666642223,0.13978494623694648,0.24074074074122093,0.3109243697487395,0.9230769230752959,0.496238729293285,0.8666666666642223,0.13978494623694648,0.24074074074122093,0.31092436974821697,0.9230769230752959,0.49623872929318047,[0.21848739 0.78151261],[ 52 186],0.8666666666642223,0.13978494623694648,0.24074074074122093,0.3109243697487395,0.9230769230752959,0.496238729293285
KNN,MaxAbs,PCA,50,SMOTE,133.0000000001,16.0000000001,53.0000000001,36.0000000001,0.8926174496639026,0.715053763440629,0.7940298507459176,0.7100840336142856,0.6923076923069527,0.7608185579543376,0.8926174496639026,0.715053763440629,0.7940298507459176,0.7100840336130924,0.6923076923069527,0.7608185579540989,[0.21848739 0.78151261],[ 52 186],0.8926174496639026,0.715053763440629,0.7940298507459176,0.7100840336142856,0.6923076923069527,0.7608185579543376
DT,Standard,PCA,60,SVMSMOTE,156.0000000001,29.0000000001,30.0000000001,23.0000000001,0.8432432432428723,0.8387096774189907,0.8409703504039451,0.7521008403369747,0.4423076923079142,0.7434663607421393,0.8432432432428723,0.8387096774189907,0.8409703504039451,0.7521008403357108,0.4423076923079142,0.7434663607418865,[0.21848739 0.78151261],[ 52 186],0.8432432432428723,0.8387096774189907,0.8409703504039451,0.7521008403369747,0.4423076923079142,0.7434663607421393
KNN,QT,,70,SVMSMOTE,137.0000000001,16.0000000001,49.0000000001,36.0000000001,0.8954248366007903,0.7365591397846919,0.8082595870202853,0.7268907563033612,0.6923076923069527,0.7718884024032163,0.8954248366007903,0.7365591397846919,0.8082595870202853,0.7268907563021397,0.6923076923069527,0.771888402402972,[0.21848739 0.78151261],[ 52 186],0.8954248366007903,0.7365591397846919,0.8082595870202853,0.7268907563033612,0.6923076923069527,0.7718884024032163
KNN,MaxAbs,,80,SVMSMOTE,142.0000000001,24.0000000001,44.0000000001,28.0000000001,0.8554216867465598,0.7634408602147705,0.8068181818178332,0.7142857142865545,0.5384615384613906,0.7356855963054217,0.8554216867465598,0.7634408602147705,0.8068181818178332,0.7142857142853541,0.5384615384613906,0.7356855963051816,[0.21848739 0.78151261],[ 52 186],0.8554216867465598,0.7634408602147705,0.8068181818178332,0.7142857142865545,0.5384615384613906,0.7356855963054217
KNN,Standard,,60,SVMSMOTE,125.0000000001,20.0000000001,61.0000000001,32.0000000001,0.862068965516742,0.6720430107525032,0.7552870090631356,0.6596638655470588,0.6153846153841716,0.7128894932527222,0.862068965516742,0.6720430107525032,0.7552870090631356,0.6596638655459501,0.6153846153841716,0.7128894932525005,[0.21848739 0.78151261],[ 52 186],0.862068965516742,0.6720430107525033,0.7552870090631356,0.6596638655470588,0.6153846153841716,0.7128894932527222
KNN,MaxAbs,,80,SVMSMOTE,142.0000000001,25.0000000001,44.0000000001,27.0000000001,0.8502994011971853,0.7634408602147705,0.8045325779033377,0.7100840336142856,0.5192307692306952,0.729517528432055,0.8502994011971853,0.7634408602147705,0.8045325779033377,0.7100840336130924,0.5192307692306952,0.7295175284318163,[0.21848739 0.78151261],[ 52 186],0.8502994011971853,0.7634408602147705,0.8045325779033377,0.7100840336142856,0.5192307692306952,0.729517528432055
KNN,MaxAbs,,60,SVMSMOTE,142.0000000001,19.0000000001,44.0000000001,33.0000000001,0.881987577639277,0.7634408602147705,0.818443804034215,0.7352941176478991,0.6346153846148669,0.7667563488302057,0.881987577639277,0.7634408602147705,0.818443804034215,0.7352941176466634,0.6346153846148669,0.7667563488299586,[0.21848739 0.78151261],[ 52 186],0.881987577639277,0.7634408602147705,0.818443804034215,0.7352941176478991,0.6346153846148669,0.7667563488302057
KNN,MaxAbs,,60,SVMSMOTE,131.0000000001,24.0000000001,55.0000000001,28.0000000001,0.8451612903221354,0.7043010752685975,0.7683284457474858,0.6680672268915966,0.5384615384613906,0.7048639153382411,0.8451612903221354,0.7043010752685975,0.7683284457474858,0.6680672268904738,0.5384615384613906,0.7048639153380166,[0.21848739 0.78151261],[ 52 186],0.8451612903221354,0.7043010752685975,0.7683284457474858,0.6680672268915966,0.5384615384613906,0.7048639153382411
