Model,Scaler,FS Tech,FS Ratio,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
RF,Standard,PCA,90,179.0000000001,44.0000000001,7.0000000001,8.0000000001,0.8026905829593698,0.9623655913973523,0.8753056234715156,0.7857142857151259,0.1538461538474852,0.7159844474781697,0.8026905829593698,0.9623655913973523,0.8753056234715156,0.7857142857138055,0.1538461538474852,0.7159844474779057,[0.21848739 0.78151261],[ 52 186],0.8026905829593698,0.9623655913973523,0.8753056234715156,0.7857142857151259,0.1538461538474852,0.7159844474781697
RF,Standard,PCA,80,175.0000000001,34.0000000001,11.0000000001,18.0000000001,0.8373205741623567,0.9408602150532894,0.8860759493666978,0.8109243697487394,0.34615384615443784,0.7642669908971041,0.8373205741623567,0.9408602150532894,0.8860759493666978,0.8109243697473767,0.34615384615443784,0.7642669908968316,[0.21848739 0.78151261],[ 52 186],0.8373205741623568,0.9408602150532894,0.8860759493666979,0.8109243697487394,0.34615384615443784,0.7642669908971043
RF,Standard,PCA,50,173.0000000001,36.0000000001,13.0000000001,16.0000000001,0.8277511961719352,0.930107526881258,0.875949367088227,0.7941176470596638,0.3076923076930473,0.7471236089788261,0.8277511961719352,0.930107526881258,0.875949367088227,0.7941176470583293,0.3076923076930473,0.7471236089785593,[0.21848739 0.78151261],[ 52 186],0.8277511961719352,0.930107526881258,0.875949367088227,0.7941176470596638,0.3076923076930473,0.7471236089788261
RF,Standard,PCA,70,171.0000000001,36.0000000001,15.0000000001,16.0000000001,0.8260869565214242,0.9193548387092265,0.8702290076332111,0.7857142857151259,0.3076923076930473,0.7418154792544069,0.8260869565214242,0.9193548387092265,0.8702290076332111,0.7857142857138055,0.3076923076930473,0.7418154792541429,[0.21848739 0.78151261],[ 52 186],0.8260869565214242,0.9193548387092265,0.8702290076332111,0.7857142857151259,0.3076923076930473,0.7418154792544069
RF,Standard,PCA,20,138.0000000001,30.0000000001,48.0000000001,22.0000000001,0.8214285714281888,0.7419354838707076,0.7796610169488366,0.6722689075638655,0.42307692307721895,0.6876741805777635,0.8214285714281888,0.7419354838707076,0.7796610169488366,0.6722689075627357,0.42307692307721895,0.6876741805775376,[0.21848739 0.78151261],[ 52 186],0.8214285714281888,0.7419354838707077,0.7796610169488366,0.6722689075638655,0.423076923077219,0.6876741805777635
RF,Standard,PCA,40,171.0000000001,35.0000000001,15.0000000001,17.0000000001,0.8300970873783203,0.9193548387092265,0.8724489795914567,0.7899159663873948,0.32692307692374256,0.7477479897980281,0.8300970873783203,0.9193548387092265,0.8724489795914567,0.7899159663860674,0.32692307692374256,0.7477479897977627,[0.21848739 0.78151261],[ 52 186],0.8300970873783203,0.9193548387092265,0.8724489795914567,0.7899159663873948,0.32692307692374256,0.7477479897980281
RF,Standard,PCA,30,173.0000000001,37.0000000001,13.0000000001,15.0000000001,0.8238095238092155,0.930107526881258,0.8737373737369962,0.7899159663873948,0.28846153846235206,0.7412063858554433,0.8238095238092155,0.930107526881258,0.8737373737369962,0.7899159663860674,0.28846153846235206,0.7412063858551778,[0.21848739 0.78151261],[ 52 186],0.8238095238092156,0.930107526881258,0.8737373737369963,0.7899159663873948,0.28846153846235206,0.7412063858554433
RF,Standard,PCA,60,163.0000000001,34.0000000001,23.0000000001,18.0000000001,0.827411167512358,0.8763440860211008,0.8511749347254819,0.7605042016815124,0.34615384615443784,0.7323176472189782,0.827411167512358,0.8763440860211008,0.8511749347254819,0.7605042016802345,0.34615384615443784,0.7323176472187225,[0.21848739 0.78151261],[ 52 186],0.827411167512358,0.8763440860211008,0.8511749347254819,0.7605042016815124,0.34615384615443784,0.7323176472189782
RF,Standard,LDA,20,150.0000000001,34.0000000001,36.0000000001,18.0000000001,0.8152173913040053,0.8064516129028964,0.8108108108104748,0.7058823529420167,0.34615384615443784,0.6969032028227662,0.8152173913040053,0.8064516129028964,0.8108108108104748,0.7058823529408305,0.34615384615443784,0.696903202822529,[0.21848739 0.78151261],[ 52 186],0.8152173913040053,0.8064516129028964,0.8108108108104748,0.7058823529420167,0.34615384615443784,0.6969032028227662
RF,Standard,,90,166.0000000001,40.0000000001,20.0000000001,12.0000000001,0.8058252427181497,0.8924731182791479,0.8469387755098501,0.7478991596647058,0.23076923077026626,0.7047811053884241,0.8058252427181497,0.8924731182791479,0.8469387755098501,0.747899159663449,0.23076923077026626,0.7047811053881727,[0.21848739 0.78151261],[ 52 186],0.8058252427181497,0.8924731182791479,0.8469387755098501,0.7478991596647058,0.23076923077026626,0.7047811053884241
