Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
MLP,Normalizer,186.0000000001,52.0000000001,1e-10,1e-10,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.7815126050415437,1.9230769230695266e-12,0.6880767401300782,[0.21848739 0.78151261],[ 52 186],0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409
MLP,Standard,177.0000000001,33.0000000001,9.0000000001,19.0000000001,0.8428571428568163,0.9516129032253209,0.8939393939389961,0.8235294117655461,0.36538461538513306,0.7754646934343625,0.8428571428568163,0.9516129032253209,0.8939393939389961,0.8235294117641622,0.36538461538513306,0.7754646934340858,[0.21848739 0.78151261],[ 52 186],0.8428571428568163,0.9516129032253209,0.8939393939389961,0.8235294117655461,0.36538461538513306,0.7754646934343625
MLP,MinMax,176.0000000001,36.0000000001,10.0000000001,16.0000000001,0.8301886792449715,0.9462365591393052,0.8844221105523774,0.8067226890764705,0.3076923076930473,0.7550524691412344,0.8301886792449715,0.9462365591393052,0.8844221105523774,0.8067226890751148,0.3076923076930473,0.7550524691409632,[0.21848739 0.78151261],[ 52 186],0.8301886792449715,0.9462365591393052,0.8844221105523774,0.8067226890764705,0.3076923076930473,0.7550524691412344
MLP,Robust,173.0000000001,39.0000000001,13.0000000001,13.0000000001,0.8160377358487585,0.930107526881258,0.8693467336679704,0.781512605042857,0.2500000000009615,0.729400920288361,0.8160377358487585,0.930107526881258,0.8693467336679704,0.7815126050415437,0.2500000000009615,0.7294009202880984,[0.21848739 0.78151261],[ 52 186],0.8160377358487585,0.930107526881258,0.8693467336679704,0.781512605042857,0.2500000000009615,0.729400920288361
MLP,MaxAbs,177.0000000001,39.0000000001,9.0000000001,13.0000000001,0.8194444444441487,0.9516129032253209,0.8805970149249944,0.7983193277319327,0.2500000000009615,0.7399947380654717,0.8194444444441487,0.9516129032253209,0.8805970149249944,0.7983193277305911,0.2500000000009615,0.7399947380652032,[0.21848739 0.78151261],[ 52 186],0.8194444444441487,0.9516129032253209,0.8805970149249944,0.7983193277319327,0.2500000000009615,0.7399947380654717
MLP,QT,171.0000000001,37.0000000001,15.0000000001,15.0000000001,0.8221153846150749,0.9193548387092265,0.8680203045681544,0.781512605042857,0.28846153846235206,0.7358929342795328,0.8221153846150749,0.9193548387092265,0.8680203045681544,0.7815126050415437,0.28846153846235206,0.7358929342792703,[0.21848739 0.78151261],[ 52 186],0.8221153846150749,0.9193548387092265,0.8680203045681544,0.781512605042857,0.28846153846235206,0.7358929342795328
RF,Normalizer,186.0000000001,49.0000000001,1e-10,3.0000000001,0.7914893617018797,0.9999999999994624,0.883610451306049,0.7941176470596638,0.05769230769400887,0.7053819535522128,0.7914893617018797,0.9999999999994624,0.883610451306049,0.7941176470583293,0.05769230769400887,0.7053819535519458,[0.21848739 0.78151261],[ 52 186],0.7914893617018797,0.9999999999994624,0.883610451306049,0.7941176470596638,0.05769230769400887,0.7053819535522128
RF,Standard,169.0000000001,34.0000000001,17.0000000001,18.0000000001,0.8325123152706084,0.9086021505371951,0.8688946015420371,0.7857142857151259,0.34615384615443784,0.7483754398438809,0.8325123152706084,0.9086021505371951,0.8688946015420371,0.7857142857138055,0.34615384615443784,0.7483754398436168,[0.21848739 0.78151261],[ 52 186],0.8325123152706084,0.9086021505371951,0.8688946015420371,0.7857142857151259,0.34615384615443784,0.7483754398438809
RF,MinMax,175.0000000001,34.0000000001,11.0000000001,18.0000000001,0.8373205741623567,0.9408602150532894,0.8860759493666978,0.8109243697487394,0.34615384615443784,0.7642669908971041,0.8373205741623567,0.9408602150532894,0.8860759493666978,0.8109243697473767,0.34615384615443784,0.7642669908968316,[0.21848739 0.78151261],[ 52 186],0.8373205741623568,0.9408602150532894,0.8860759493666979,0.8109243697487394,0.34615384615443784,0.7642669908971043
RF,Robust,172.0000000001,39.0000000001,14.0000000001,13.0000000001,0.8151658767769525,0.9247311827952422,0.866498740553787,0.7773109243705881,0.2500000000009615,0.7267413448995061,0.8151658767769525,0.9247311827952422,0.866498740553787,0.7773109243692818,0.2500000000009615,0.726741344899245,[0.21848739 0.78151261],[ 52 186],0.8151658767769525,0.9247311827952422,0.866498740553787,0.7773109243705881,0.2500000000009615,0.7267413448995061
RF,MaxAbs,174.0000000001,31.0000000001,12.0000000001,21.0000000001,0.8487804878045379,0.9354838709672737,0.8900255754471713,0.8193277310932772,0.40384615384652367,0.7794927638317567,0.8487804878045379,0.9354838709672737,0.8900255754471713,0.8193277310919004,0.40384615384652367,0.7794927638314814,[0.21848739 0.78151261],[ 52 186],0.8487804878045379,0.9354838709672737,0.8900255754471713,0.8193277310932772,0.40384615384652367,0.7794927638317567
RF,QT,177.0000000001,34.0000000001,9.0000000001,18.0000000001,0.838862559241385,0.9516129032253209,0.8916876574303358,0.8193277310932772,0.34615384615443784,0.7695289394289513,0.838862559241385,0.9516129032253209,0.8916876574303358,0.8193277310919004,0.34615384615443784,0.769528939428676,[0.21848739 0.78151261],[ 52 186],0.838862559241385,0.9516129032253209,0.8916876574303358,0.8193277310932772,0.34615384615443784,0.7695289394289513
AB,Normalizer,185.0000000001,45.0000000001,1.0000000001,7.0000000001,0.8043478260866919,0.9946236559134467,0.8894230769227025,0.8067226890764705,0.13461538461678993,0.7259465265232203,0.8043478260866919,0.9946236559134467,0.8894230769227025,0.8067226890751148,0.13461538461678993,0.7259465265229492,[0.21848739 0.78151261],[ 52 186],0.8043478260866919,0.9946236559134467,0.8894230769227025,0.8067226890764705,0.13461538461678993,0.7259465265232203
AB,Standard,176.0000000001,37.0000000001,10.0000000001,15.0000000001,0.8262910798119002,0.9462365591393052,0.882205513784078,0.8025210084042016,0.28846153846235206,0.7491431399203673,0.8262910798119002,0.9462365591393052,0.882205513784078,0.802521008402853,0.28846153846235206,0.7491431399200976,[0.21848739 0.78151261],[ 52 186],0.8262910798119002,0.9462365591393052,0.882205513784078,0.8025210084042016,0.28846153846235206,0.7491431399203673
