Model,Scaler,FS Tech,FS Ratio,OV Tech,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
RF,QT,MI,30,SMOTE,142.0000000001,21.0000000001,34.0000000001,27.0000000001,0.8711656441713238,0.8068181818178332,0.8377581120939969,0.7544642857151784,0.5624999999997395,0.7665412447596143,0.8711656441713238,0.8068181818178332,0.8377581120939969,0.7544642857138314,0.5624999999997395,0.7665412447593448,[0.21428571 0.78571429],[ 48 176],0.8711656441713238,0.8068181818178332,0.8377581120939969,0.7544642857151783,0.5624999999997395,0.7665412447596143
AB,QT,Chi2,80,,158.0000000001,29.0000000001,18.0000000001,19.0000000001,0.8449197860958878,0.8977272727268208,0.8705234159775531,0.7901785714294641,0.39583333333376736,0.7598364759126988,0.8449197860958878,0.8977272727268208,0.8705234159775531,0.7901785714280534,0.39583333333376736,0.7598364759124165,[0.21428571 0.78571429],[ 48 176],0.8449197860958878,0.8977272727268207,0.8705234159775531,0.7901785714294641,0.39583333333376736,0.7598364759126987
ETs,Robust,,10,SMOTE,158.0000000001,23.0000000001,18.0000000001,25.0000000001,0.8729281767951681,0.8977272727268208,0.8851540616242183,0.8169642857151784,0.5208333333332466,0.7987214260389265,0.8729281767951681,0.8977272727268208,0.8851540616242183,0.8169642857137198,0.5208333333332466,0.7987214260386347,[0.21428571 0.78571429],[ 48 176],0.8729281767951681,0.8977272727268207,0.8851540616242183,0.8169642857151783,0.5208333333332466,0.7987214260389264
KNN,QT,PCA,40,SMOTE,126.0000000001,13.0000000001,50.0000000001,35.0000000001,0.9064748201433,0.7159090909088456,0.799999999999619,0.7187500000008928,0.7291666666657118,0.7740601155436738,0.9064748201433,0.7159090909088456,0.799999999999619,0.7187499999996094,0.7291666666657118,0.7740601155434171,[0.21428571 0.78571429],[ 48 176],0.9064748201433,0.7159090909088456,0.799999999999619,0.7187500000008928,0.7291666666657118,0.7740601155436738
KNN,QT,Chi2,90,,164.0000000001,34.0000000001,12.0000000001,14.0000000001,0.8282828282824968,0.9318181818176912,0.8770053475931798,0.7946428571437499,0.2916666666675347,0.7446831763009304,0.8282828282824968,0.9318181818176912,0.8770053475931798,0.7946428571423311,0.2916666666675347,0.7446831763006466,[0.21428571 0.78571429],[ 48 176],0.8282828282824968,0.9318181818176912,0.8770053475931798,0.7946428571437499,0.2916666666675347,0.7446831763009304
RF,,RF,10,ADASYN,134.0000000001,17.0000000001,42.0000000001,31.0000000001,0.8874172185425333,0.7613636363633394,0.8195718654430342,0.7366071428580356,0.6458333333327257,0.7701586393079337,0.8874172185425333,0.7613636363633394,0.8195718654430342,0.7366071428567204,0.6458333333327257,0.7701586393076706,[0.21428571 0.78571429],[ 48 176],0.8874172185425332,0.7613636363633394,0.8195718654430341,0.7366071428580356,0.6458333333327257,0.7701586393079335
DT,Normalizer,ANOVA,50,SMOTE,129.0000000001,19.0000000001,47.0000000001,29.0000000001,0.8716216216211194,0.7329545454542807,0.7962962962959305,0.7053571428580356,0.6041666666662326,0.7420792545791197,0.8716216216211194,0.7329545454542807,0.7962962962959305,0.7053571428567762,0.6041666666662326,0.7420792545788679,[0.21428571 0.78571429],[ 48 176],0.8716216216211194,0.7329545454542807,0.7962962962959305,0.7053571428580356,0.6041666666662326,0.7420792545791197
RF,MinMax,ANOVA,30,SVMSMOTE,152.0000000001,23.0000000001,24.0000000001,25.0000000001,0.8685714285710074,0.8636363636359504,0.866096866096449,0.7901785714294641,0.5208333333332466,0.7818633126132235,0.8685714285710074,0.8636363636359504,0.866096866096449,0.7901785714280534,0.5208333333332466,0.7818633126129414,[0.21428571 0.78571429],[ 48 176],0.8685714285710074,0.8636363636359503,0.866096866096449,0.7901785714294641,0.5208333333332466,0.7818633126132235
MLP,Standard,PCA,60,SMOTE,150.0000000001,18.0000000001,26.0000000001,30.0000000001,0.8928571428566753,0.8522727272723271,0.8720930232553814,0.8035714285723213,0.6249999999994792,0.8091588643912369,0.8928571428566753,0.8522727272723271,0.8720930232553814,0.8035714285708866,0.6249999999994792,0.80915886439095,[0.21428571 0.78571429],[ 48 176],0.8928571428566753,0.8522727272723271,0.8720930232553814,0.8035714285723213,0.6249999999994792,0.8091588643912369
KNN,Robust,PCA,30,SVMSMOTE,128.0000000001,26.0000000001,48.0000000001,22.0000000001,0.8311688311684011,0.727272727272469,0.7757575757572416,0.6696428571437499,0.45833333333350695,0.6924350649350737,0.8311688311684011,0.727272727272469,0.7757575757572416,0.6696428571425542,0.45833333333350695,0.6924350649348346,[0.21428571 0.78571429],[ 48 176],0.8311688311684011,0.727272727272469,0.7757575757572416,0.6696428571437499,0.4583333333335069,0.6924350649350737
