Model,Scaler,FS Tech,FS Ratio,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
RF,MaxAbs,,50,171.0000000001,30.0000000001,5.0000000001,18.0000000001,0.8507462686563675,0.9715909090903733,0.907161803713096,0.8437500000008927,0.3750000000005208,0.78964979629225,0.8507462686563675,0.9715909090903733,0.907161803713096,0.8437499999993863,0.3750000000005208,0.7896497962919488,[0.21428571 0.78571429],[ 48 176],0.8507462686563674,0.9715909090903732,0.9071618037130958,0.8437500000008927,0.3750000000005208,0.78964979629225
RF,MaxAbs,,70,172.0000000001,23.0000000001,4.0000000001,25.0000000001,0.8820512820508902,0.977272727272185,0.9272237196760893,0.8794642857151784,0.5208333333332466,0.837369069609518,0.8820512820508902,0.977272727272185,0.9272237196760893,0.8794642857136081,0.5208333333332466,0.8373690696092039,[0.21428571 0.78571429],[ 48 176],0.8820512820508902,0.9772727272721848,0.9272237196760892,0.8794642857151783,0.5208333333332466,0.8373690696095177
RF,MaxAbs,,90,168.0000000001,31.0000000001,8.0000000001,17.0000000001,0.8442211055272922,0.9545454545449381,0.8959999999995776,0.8258928571437499,0.3541666666672743,0.7749652167765665,0.8442211055272922,0.9545454545449381,0.8959999999995776,0.8258928571422752,0.3541666666672743,0.7749652167762715,[0.21428571 0.78571429],[ 48 176],0.8442211055272922,0.9545454545449381,0.8959999999995776,0.8258928571437499,0.35416666666727425,0.7749652167765664
RF,MaxAbs,,60,164.0000000001,26.0000000001,12.0000000001,22.0000000001,0.8631578947364599,0.9318181818176912,0.8961748633875453,0.8303571428580356,0.45833333333350695,0.7959682832266479,0.8631578947364599,0.9318181818176912,0.8961748633875453,0.830357142856553,0.45833333333350695,0.7959682832263513,[0.21428571 0.78571429],[ 48 176],0.8631578947364598,0.9318181818176912,0.8961748633875452,0.8303571428580356,0.4583333333335069,0.7959682832266477
RF,MaxAbs,,10,168.0000000001,29.0000000001,8.0000000001,19.0000000001,0.8527918781722307,0.9545454545449381,0.9008042895438061,0.8348214285723213,0.39583333333376736,0.7877592768334127,0.8527918781722307,0.9545454545449381,0.9008042895438061,0.8348214285708307,0.39583333333376736,0.7877592768331146,[0.21428571 0.78571429],[ 48 176],0.8527918781722307,0.9545454545449381,0.9008042895438061,0.8348214285723213,0.39583333333376736,0.7877592768334127
RF,MaxAbs,,100,171.0000000001,25.0000000001,5.0000000001,23.0000000001,0.8724489795914567,0.9715909090903733,0.9193548387092265,0.8660714285723213,0.47916666666675345,0.8217265645260262,0.8724489795914567,0.9715909090903733,0.9193548387092265,0.8660714285707749,0.47916666666675345,0.821726564525717,[0.21428571 0.78571429],[ 48 176],0.8724489795914567,0.9715909090903732,0.9193548387092265,0.8660714285723213,0.47916666666675345,0.8217265645260262
RF,MaxAbs,,80,168.0000000001,27.0000000001,8.0000000001,21.0000000001,0.8615384615380908,0.9545454545449381,0.9056603773580533,0.8437500000008927,0.4375000000002604,0.800598858688447,0.8615384615380908,0.9545454545449381,0.9056603773580533,0.8437499999993863,0.4375000000002604,0.8005988586881457,[0.21428571 0.78571429],[ 48 176],0.8615384615380908,0.9545454545449381,0.9056603773580533,0.8437500000008927,0.4375000000002604,0.800598858688447
RF,MaxAbs,,40,168.0000000001,20.0000000001,8.0000000001,28.0000000001,0.893617021276177,0.9545454545449381,0.9230769230764582,0.8750000000008927,0.5833333333329861,0.8459145464462903,0.893617021276177,0.9545454545449381,0.9230769230764582,0.8749999999993304,0.5833333333329861,0.8459145464459779,[0.21428571 0.78571429],[ 48 176],0.893617021276177,0.9545454545449381,0.9230769230764582,0.8750000000008927,0.5833333333329861,0.8459145464462903
RF,MaxAbs,,30,162.0000000001,24.0000000001,14.0000000001,24.0000000001,0.8709677419350851,0.9204545454540677,0.8950276243089558,0.8303571428580356,0.5,0.8033614109112289,0.8709677419350851,0.9204545454540677,0.8950276243089558,0.830357142856553,0.5,0.8033614109109323,[0.21428571 0.78571429],[ 48 176],0.8709677419350851,0.9204545454540677,0.8950276243089558,0.8303571428580356,0.5,0.8033614109112289
RF,MaxAbs,,20,172.0000000001,26.0000000001,4.0000000001,22.0000000001,0.8686868686864964,0.977272727272185,0.9197860962562356,0.8660714285723213,0.45833333333350695,0.818030090824149,0.8686868686864964,0.977272727272185,0.9197860962562356,0.8660714285707749,0.45833333333350695,0.8180300908238397,[0.21428571 0.78571429],[ 48 176],0.8686868686864964,0.9772727272721848,0.9197860962562355,0.8660714285723213,0.4583333333335069,0.818030090824149
