Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
MLP,Normalizer,176.0000000001,45.0000000001,1e-10,3.0000000001,0.7963800904974694,0.9999999999994319,0.8866498740550262,0.7991071428580356,0.06250000000182292,0.7089274214823573,0.7963800904974694,0.9999999999994319,0.8866498740550262,0.7991071428566088,0.06250000000182292,0.7089274214820718,[0.21428571 0.78571429],[ 48 176],0.7963800904974694,0.9999999999994319,0.8866498740550262,0.7991071428580356,0.06250000000182292,0.7089274214823573
MLP,Standard,167.0000000001,27.0000000001,9.0000000001,21.0000000001,0.8608247422676693,0.9488636363631263,0.9027027027022674,0.839285714286607,0.4375000000002604,0.7978353591239861,0.8608247422676693,0.9488636363631263,0.9027027027022674,0.8392857142851085,0.4375000000002604,0.7978353591236864,[0.21428571 0.78571429],[ 48 176],0.8608247422676693,0.9488636363631263,0.9027027027022674,0.839285714286607,0.4375000000002604,0.7978353591239861
MLP,MinMax,162.0000000001,29.0000000001,14.0000000001,19.0000000001,0.8481675392666512,0.9204545454540677,0.8828337874655229,0.808035714286607,0.39583333333376736,0.7710649839613233,0.8481675392666512,0.9204545454540677,0.8828337874655229,0.8080357142851643,0.39583333333376736,0.7710649839610346,[0.21428571 0.78571429],[ 48 176],0.8481675392666512,0.9204545454540677,0.8828337874655229,0.808035714286607,0.39583333333376736,0.7710649839613233
MLP,Robust,165.0000000001,28.0000000001,11.0000000001,20.0000000001,0.8549222797923783,0.937499999999503,0.8943089430890034,0.8258928571437499,0.4166666666670139,0.7858581493383296,0.8549222797923783,0.937499999999503,0.8943089430890034,0.8258928571422752,0.4166666666670139,0.7858581493380348,[0.21428571 0.78571429],[ 48 176],0.8549222797923783,0.937499999999503,0.8943089430890034,0.8258928571437499,0.4166666666670139,0.7858581493383296
MLP,MaxAbs,169.0000000001,32.0000000001,7.0000000001,16.0000000001,0.8407960199001585,0.9602272727267498,0.8965517241375104,0.8258928571437499,0.3333333333340277,0.7713602414484393,0.8407960199001585,0.9602272727267498,0.8965517241375104,0.8258928571422752,0.3333333333340277,0.7713602414481443,[0.21428571 0.78571429],[ 48 176],0.8407960199001585,0.9602272727267498,0.8965517241375104,0.8258928571437499,0.3333333333340277,0.7713602414484393
MLP,QT,168.0000000001,26.0000000001,8.0000000001,22.0000000001,0.8659793814429217,0.9545454545449381,0.908108108107667,0.8482142857151784,0.45833333333350695,0.8070361126288426,0.8659793814429217,0.9545454545449381,0.908108108107667,0.848214285713664,0.45833333333350695,0.8070361126285395,[0.21428571 0.78571429],[ 48 176],0.8659793814429217,0.9545454545449381,0.908108108107667,0.8482142857151783,0.4583333333335069,0.8070361126288423
RF,Normalizer,170.0000000001,33.0000000001,6.0000000001,15.0000000001,0.8374384236449878,0.9659090909085616,0.8970976253293963,0.8258928571437499,0.3125000000007812,0.7677675994054953,0.8374384236449878,0.9659090909085616,0.8970976253293963,0.8258928571422752,0.3125000000007812,0.7677675994052003,[0.21428571 0.78571429],[ 48 176],0.8374384236449878,0.9659090909085616,0.8970976253293963,0.8258928571437499,0.3125000000007812,0.7677675994054953
RF,Standard,163.0000000001,25.0000000001,13.0000000001,23.0000000001,0.8670212765953543,0.9261363636358795,0.8956043956039611,0.8303571428580356,0.47916666666675345,0.7996571690719969,0.8670212765953543,0.9261363636358795,0.8956043956039611,0.830357142856553,0.47916666666675345,0.7996571690717003,[0.21428571 0.78571429],[ 48 176],0.8670212765953542,0.9261363636358795,0.8956043956039609,0.8303571428580356,0.47916666666675345,0.7996571690719967
RF,MinMax,168.0000000001,26.0000000001,8.0000000001,22.0000000001,0.8659793814429217,0.9545454545449381,0.908108108107667,0.8482142857151784,0.45833333333350695,0.8070361126288426,0.8659793814429217,0.9545454545449381,0.908108108107667,0.848214285713664,0.45833333333350695,0.8070361126285395,[0.21428571 0.78571429],[ 48 176],0.8659793814429217,0.9545454545449381,0.908108108107667,0.8482142857151783,0.4583333333335069,0.8070361126288423
RF,Robust,162.0000000001,22.0000000001,14.0000000001,26.0000000001,0.8804347826082822,0.9204545454540677,0.8999999999995557,0.839285714286607,0.5416666666664931,0.8163683418030011,0.8804347826082822,0.9204545454540677,0.8999999999995557,0.8392857142851085,0.5416666666664931,0.8163683418027015,[0.21428571 0.78571429],[ 48 176],0.8804347826082822,0.9204545454540677,0.8999999999995557,0.839285714286607,0.5416666666664931,0.8163683418030011
