number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
0,0.6880767401303409,2025-03-18 11:25:39.841454,2025-03-18 11:27:07.319587,0 days 00:01:27.478133,70,ANOVA,DT,,Normalizer,COMPLETE
1,0.6464011656881199,2025-03-18 11:25:39.851625,2025-03-18 11:26:16.656666,0 days 00:00:36.805041,60,,SGD,SVMSMOTE,QT,COMPLETE
2,0.6880767401303409,2025-03-18 11:25:39.976164,2025-03-18 11:26:41.176302,0 days 00:01:01.200138,20,ANOVA,MLP,,,COMPLETE
3,0.6854459578621426,2025-03-18 11:25:40.126474,2025-03-18 11:26:25.515333,0 days 00:00:45.388859,20,ANOVA,DT,,MinMax,COMPLETE
4,0.6832967838548042,2025-03-18 11:25:40.251501,2025-03-18 11:26:25.515333,0 days 00:00:45.263832,40,PCA,SGD,SVMSMOTE,MinMax,COMPLETE
5,0.6880767401303409,2025-03-18 11:25:40.541421,2025-03-18 11:27:18.383121,0 days 00:01:37.841700,70,RFE,DT,,Normalizer,COMPLETE
6,0.6880767401303409,2025-03-18 11:25:40.689101,2025-03-18 11:26:43.121747,0 days 00:01:02.432646,20,RFE,DT,,,COMPLETE
7,0.6880767401303409,2025-03-18 11:25:40.876171,2025-03-18 11:26:53.656198,0 days 00:01:12.780027,20,PCA,MLP,,MinMax,COMPLETE
8,0.0,2025-03-18 11:25:41.101528,2025-03-18 11:26:21.261834,0 days 00:00:40.160306,100,MI,KNN,SVMSMOTE,QT,COMPLETE
9,0.670026217072772,2025-03-18 11:25:41.247286,2025-03-18 11:26:07.131462,0 days 00:00:25.884176,90,Chi2,RF,SVMSMOTE,MaxAbs,COMPLETE
10,0.6880767401303409,2025-03-18 11:25:41.381360,2025-03-18 11:26:39.281288,0 days 00:00:57.899928,20,PCA,DT,,MinMax,COMPLETE
11,0.6622194974230207,2025-03-18 11:25:41.598221,2025-03-18 11:26:08.396562,0 days 00:00:26.798341,50,,KNN,SMOTE,QT,COMPLETE
12,0.6880767401303409,2025-03-18 11:25:41.724235,2025-03-18 11:26:42.031864,0 days 00:01:00.307629,70,PCA,MLP,,,COMPLETE
13,0.6854459578621426,2025-03-18 11:25:41.852405,2025-03-18 11:27:00.062532,0 days 00:01:18.210127,20,PCA,DT,,,COMPLETE
14,0.0,2025-03-18 11:25:41.994174,2025-03-18 11:26:18.036546,0 days 00:00:36.042372,100,LDA,SGD,SMOTE,Standard,COMPLETE
15,0.6880767401303409,2025-03-18 11:25:42.098205,2025-03-18 11:26:33.844488,0 days 00:00:51.746283,20,ANOVA,DT,,,COMPLETE
16,0.6880767401303409,2025-03-18 11:25:42.281513,2025-03-18 11:26:53.641416,0 days 00:01:11.359903,70,RFE,DT,,Normalizer,COMPLETE
17,0.6880767401303409,2025-03-18 11:25:42.411627,2025-03-18 11:27:36.894265,0 days 00:01:54.482638,70,RFE,MLP,,,COMPLETE
18,0.6880767401303409,2025-03-18 11:25:42.561560,2025-03-18 11:26:09.496341,0 days 00:00:26.934781,70,ANOVA,ETs,,Robust,COMPLETE
19,0.6880767401303409,2025-03-18 11:25:42.671356,2025-03-18 11:27:29.257498,0 days 00:01:46.586142,20,PCA,MLP,,,COMPLETE
20,0.7001270197926202,2025-03-18 11:25:42.781252,2025-03-18 11:26:57.631522,0 days 00:01:14.850270,90,Chi2,RF,SVMSMOTE,QT,COMPLETE
21,0.6337044872296163,2025-03-18 11:25:42.924295,2025-03-18 11:26:23.326351,0 days 00:00:40.402056,20,LDA,MLP,BorderlineSMOTE,Standard,COMPLETE
22,0.0,2025-03-18 11:25:43.054618,2025-03-18 11:26:02.771628,0 days 00:00:19.717010,40,RF,AB,ADASYN,Robust,COMPLETE
23,0.6880767401303409,2025-03-18 11:25:43.176216,2025-03-18 11:26:02.581298,0 days 00:00:19.405082,20,PCA,SGD,,Normalizer,COMPLETE
24,0.0,2025-03-18 11:25:43.288276,2025-03-18 11:26:01.483375,0 days 00:00:18.195099,90,Chi2,SGD,SMOTE,Robust,COMPLETE
25,0.6880767401303409,2025-03-18 11:25:43.411506,2025-03-18 11:26:04.316657,0 days 00:00:20.905151,60,Chi2,SGD,SMOTE,QT,COMPLETE
26,0.6880767401303409,2025-03-18 11:25:43.551445,2025-03-18 11:26:23.651471,0 days 00:00:40.100026,30,RF,SGD,,,COMPLETE
27,0.5881770221375082,2025-03-18 11:25:43.682496,2025-03-18 11:26:18.364972,0 days 00:00:34.682476,90,MI,AB,ADASYN,MinMax,COMPLETE
28,0.5937162760239321,2025-03-18 11:25:43.801876,2025-03-18 11:26:20.121881,0 days 00:00:36.320005,40,PCA,SGD,SMOTE,QT,COMPLETE
29,0.5811844754445905,2025-03-18 11:25:43.921250,2025-03-18 11:26:07.900242,0 days 00:00:23.978992,30,,ETs,BorderlineSMOTE,Normalizer,COMPLETE
30,0.0,2025-03-18 11:25:44.084151,2025-03-18 11:26:12.004131,0 days 00:00:27.919980,30,LDA,RF,SVMSMOTE,MinMax,COMPLETE
31,0.5486610970220566,2025-03-18 11:25:44.185244,2025-03-18 11:26:22.106541,0 days 00:00:37.921297,80,ANOVA,AB,SMOTE,Standard,COMPLETE
32,0.6880767401303409,2025-03-18 11:25:44.306180,2025-03-18 11:26:26.806267,0 days 00:00:42.500087,20,ANOVA,MLP,,,COMPLETE
33,0.6147993224763433,2025-03-18 11:25:44.458397,2025-03-18 11:26:09.611712,0 days 00:00:25.153315,90,,ETs,ADASYN,Standard,COMPLETE
34,0.0,2025-03-18 11:25:44.591239,2025-03-18 11:26:06.686241,0 days 00:00:22.095002,40,LDA,RF,SVMSMOTE,Standard,COMPLETE
35,0.6880767401303409,2025-03-18 11:25:44.751605,2025-03-18 11:26:22.845300,0 days 00:00:38.093695,90,Chi2,SGD,,MaxAbs,COMPLETE
36,0.6880767401303409,2025-03-18 11:25:44.886598,2025-03-18 11:26:53.417793,0 days 00:01:08.531195,70,PCA,MLP,,,COMPLETE
37,0.6854459578621426,2025-03-18 11:25:45.121515,2025-03-18 11:26:57.159540,0 days 00:01:12.038025,70,RFE,DT,,Normalizer,COMPLETE
38,0.6880767401303409,2025-03-18 11:25:45.246735,2025-03-18 11:26:50.091637,0 days 00:01:04.844902,70,ANOVA,DT,,Normalizer,COMPLETE
39,0.0,2025-03-18 11:25:45.431267,2025-03-18 11:26:19.561383,0 days 00:00:34.130116,10,MI,ETs,SVMSMOTE,Robust,COMPLETE
40,0.0,2025-03-18 11:25:45.572939,2025-03-18 11:26:06.971638,0 days 00:00:21.398699,100,LDA,AB,SVMSMOTE,Normalizer,COMPLETE
