number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
0,0.34285714285724567,2025-03-18 11:38:22.922521,2025-03-18 11:39:05.855975,0 days 00:00:42.933454,10,RF,SGD,SMOTE,,COMPLETE
1,0.7017179309980057,2025-03-18 11:38:23.207818,2025-03-18 11:38:54.960644,0 days 00:00:31.752826,70,Chi2,KNN,SMOTE,MinMax,COMPLETE
2,0.7515185085945031,2025-03-18 11:38:23.477610,2025-03-18 11:38:45.887582,0 days 00:00:22.409972,30,,AB,,MinMax,COMPLETE
3,0.7017459606806253,2025-03-18 11:38:23.618672,2025-03-18 11:38:47.195186,0 days 00:00:23.576514,80,PCA,MLP,BorderlineSMOTE,Standard,COMPLETE
4,0.7499767094035841,2025-03-18 11:38:23.712894,2025-03-18 11:39:19.537181,0 days 00:00:55.824287,90,ANOVA,AB,,QT,COMPLETE
5,0.34285714285724567,2025-03-18 11:38:23.838373,2025-03-18 11:39:21.974514,0 days 00:00:58.136141,80,MI,ETs,ADASYN,,COMPLETE
6,0.0,2025-03-18 11:38:23.963903,2025-03-18 11:39:06.536593,0 days 00:00:42.572690,100,PCA,KNN,SMOTE,QT,COMPLETE
7,0.6902857142860689,2025-03-18 11:38:24.152047,2025-03-18 11:38:57.808586,0 days 00:00:33.656539,10,,MLP,,MinMax,COMPLETE
8,0.7190628474760965,2025-03-18 11:38:24.277530,2025-03-18 11:38:55.447688,0 days 00:00:31.170158,50,PCA,KNN,BorderlineSMOTE,Standard,COMPLETE
9,0.7396018858366374,2025-03-18 11:38:24.387378,2025-03-18 11:38:47.484104,0 days 00:00:23.096726,90,ANOVA,MLP,SMOTE,QT,COMPLETE
10,0.6946058366921475,2025-03-18 11:38:24.513279,2025-03-18 11:39:04.341390,0 days 00:00:39.828111,70,RFE,RF,SVMSMOTE,QT,COMPLETE
11,0.5567675031846501,2025-03-18 11:38:24.701764,2025-03-18 11:39:19.787499,0 days 00:00:55.085735,10,Chi2,SGD,SMOTE,MinMax,COMPLETE
12,0.7102826723577469,2025-03-18 11:38:24.842938,2025-03-18 11:39:21.759795,0 days 00:00:56.916857,70,ANOVA,AB,,Robust,COMPLETE
13,0.0,2025-03-18 11:38:24.999786,2025-03-18 11:39:20.741932,0 days 00:00:55.742146,100,MI,AB,SVMSMOTE,Robust,COMPLETE
14,0.0,2025-03-18 11:38:25.112214,2025-03-18 11:38:49.732454,0 days 00:00:24.620240,20,Chi2,RF,ADASYN,,COMPLETE
15,0.0,2025-03-18 11:38:25.251324,2025-03-18 11:39:18.396971,0 days 00:00:53.145647,20,RF,KNN,,MaxAbs,COMPLETE
16,0.707555449095209,2025-03-18 11:38:25.424253,2025-03-18 11:38:48.085296,0 days 00:00:22.661043,30,MI,RF,BorderlineSMOTE,Robust,COMPLETE
17,0.0,2025-03-18 11:38:25.549882,2025-03-18 11:38:59.535156,0 days 00:00:33.985274,100,RF,SGD,BorderlineSMOTE,MinMax,COMPLETE
18,0.34285714285724567,2025-03-18 11:38:25.722845,2025-03-18 11:39:16.408819,0 days 00:00:50.685974,20,ANOVA,MLP,BorderlineSMOTE,,COMPLETE
19,0.6902857142860689,2025-03-18 11:38:25.895288,2025-03-18 11:39:21.307644,0 days 00:00:55.412356,90,ANOVA,AB,,MaxAbs,COMPLETE
20,0.34285714285724567,2025-03-18 11:38:26.052515,2025-03-18 11:38:49.497093,0 days 00:00:23.444578,80,MI,SGD,BorderlineSMOTE,Normalizer,COMPLETE
21,0.6902857142860689,2025-03-18 11:38:26.209226,2025-03-18 11:39:28.743452,0 days 00:01:02.534226,90,ANOVA,ETs,,MaxAbs,COMPLETE
22,0.0,2025-03-18 11:38:26.350884,2025-03-18 11:39:28.146242,0 days 00:01:01.795358,60,LDA,KNN,ADASYN,Standard,COMPLETE
23,0.0,2025-03-18 11:38:26.460789,2025-03-18 11:39:40.057813,0 days 00:01:13.597024,60,LDA,MLP,SMOTE,QT,COMPLETE
24,0.6902857142860689,2025-03-18 11:38:26.586302,2025-03-18 11:39:16.213639,0 days 00:00:49.627337,30,PCA,MLP,SVMSMOTE,Normalizer,COMPLETE
25,0.637736732055229,2025-03-18 11:38:26.711775,2025-03-18 11:38:53.803798,0 days 00:00:27.092023,30,PCA,SGD,SVMSMOTE,MinMax,COMPLETE
26,0.6864127151918776,2025-03-18 11:38:26.837614,2025-03-18 11:38:54.741671,0 days 00:00:27.904057,50,,DT,BorderlineSMOTE,Robust,COMPLETE
27,0.7144368929863489,2025-03-18 11:38:26.947568,2025-03-18 11:39:18.538174,0 days 00:00:51.590606,90,ANOVA,AB,,QT,COMPLETE
28,0.6902857142860689,2025-03-18 11:38:27.057532,2025-03-18 11:39:37.855645,0 days 00:01:10.798113,90,ANOVA,ETs,,MaxAbs,COMPLETE
29,0.7182761483058179,2025-03-18 11:38:27.292993,2025-03-18 11:39:18.915214,0 days 00:00:51.622221,90,ANOVA,AB,SMOTE,QT,COMPLETE
30,0.6702174502941628,2025-03-18 11:38:27.418842,2025-03-18 11:39:34.203353,0 days 00:01:06.784511,60,,MLP,SMOTE,QT,COMPLETE
