number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
0,0.7358929342795328,2025-03-18 11:55:37.870827,2025-03-18 11:56:15.058739,0 days 00:00:37.187912,70,Chi2,ETs,,MinMax,COMPLETE
1,0.7537751874881468,2025-03-18 11:55:37.897288,2025-03-18 11:56:04.013521,0 days 00:00:26.116233,50,Chi2,AB,,MaxAbs,COMPLETE
2,0.7167520440764444,2025-03-18 11:55:38.804433,2025-03-18 11:56:27.225572,0 days 00:00:48.421139,50,PCA,DT,ADASYN,MaxAbs,COMPLETE
3,0.0,2025-03-18 11:55:38.927550,2025-03-18 11:56:09.425733,0 days 00:00:30.498183,10,RFE,ETs,SVMSMOTE,Robust,COMPLETE
4,0.0,2025-03-18 11:55:39.107854,2025-03-18 11:56:36.670441,0 days 00:00:57.562587,100,RF,SGD,SVMSMOTE,Robust,COMPLETE
5,0.7608185579543376,2025-03-18 11:55:39.208417,2025-03-18 11:56:32.760570,0 days 00:00:53.552153,50,PCA,KNN,SMOTE,MaxAbs,COMPLETE
6,0.698122694101299,2025-03-18 11:55:39.376416,2025-03-18 11:56:05.211574,0 days 00:00:25.835158,90,Chi2,RF,BorderlineSMOTE,,COMPLETE
7,0.6885753984984507,2025-03-18 11:55:39.521433,2025-03-18 11:56:15.058739,0 days 00:00:35.537306,20,LDA,SGD,,Normalizer,COMPLETE
8,0.7212535292066702,2025-03-18 11:55:39.649701,2025-03-18 11:56:13.704398,0 days 00:00:34.054697,30,ANOVA,AB,ADASYN,Normalizer,COMPLETE
9,0.7299802270605482,2025-03-18 11:55:39.819843,2025-03-18 11:56:27.470494,0 days 00:00:47.650651,80,PCA,ETs,,Standard,COMPLETE
10,0.7276705123006678,2025-03-18 11:55:39.966533,2025-03-18 11:56:09.345771,0 days 00:00:29.379238,40,,AB,,Standard,COMPLETE
11,0.0,2025-03-18 11:55:40.110842,2025-03-18 11:56:18.039446,0 days 00:00:37.928604,10,Chi2,RF,SVMSMOTE,MinMax,COMPLETE
12,0.7399947380654717,2025-03-18 11:55:40.281087,2025-03-18 11:56:15.394663,0 days 00:00:35.113576,50,MI,MLP,,MaxAbs,COMPLETE
13,0.7212535292066702,2025-03-18 11:55:40.393236,2025-03-18 11:56:23.197288,0 days 00:00:42.804052,30,RF,AB,SMOTE,,COMPLETE
14,0.0,2025-03-18 11:55:40.626684,2025-03-18 11:56:15.386664,0 days 00:00:34.759980,100,MI,SGD,,Normalizer,COMPLETE
15,0.0,2025-03-18 11:55:40.834211,2025-03-18 11:56:15.390663,0 days 00:00:34.556452,100,LDA,SGD,ADASYN,Robust,COMPLETE
16,0.7446288741511409,2025-03-18 11:55:41.013613,2025-03-18 11:56:18.970940,0 days 00:00:37.957327,40,MI,KNN,SVMSMOTE,Standard,COMPLETE
17,0.0,2025-03-18 11:55:41.177941,2025-03-18 11:56:08.373940,0 days 00:00:27.195999,30,LDA,RF,BorderlineSMOTE,QT,COMPLETE
18,0.0,2025-03-18 11:55:41.358412,2025-03-18 11:56:05.485451,0 days 00:00:24.127039,30,LDA,SGD,,Standard,COMPLETE
19,0.0,2025-03-18 11:55:41.470149,2025-03-18 11:56:19.990856,0 days 00:00:38.520707,100,RFE,DT,BorderlineSMOTE,Robust,COMPLETE
20,0.7432195783879092,2025-03-18 11:55:41.642442,2025-03-18 11:56:36.160920,0 days 00:00:54.518478,70,ANOVA,KNN,SMOTE,QT,COMPLETE
21,0.6950528993703926,2025-03-18 11:55:41.790459,2025-03-18 11:56:18.027446,0 days 00:00:36.236987,90,ANOVA,AB,SMOTE,MinMax,COMPLETE
22,0.7407186633849961,2025-03-18 11:55:41.978440,2025-03-18 11:56:06.060802,0 days 00:00:24.082362,30,MI,KNN,SMOTE,MinMax,COMPLETE
23,0.0,2025-03-18 11:55:42.182446,2025-03-18 11:56:21.391745,0 days 00:00:39.209299,10,PCA,SGD,BorderlineSMOTE,Standard,COMPLETE
24,0.0,2025-03-18 11:55:42.306443,2025-03-18 11:56:20.387348,0 days 00:00:38.080905,50,RF,RF,SVMSMOTE,Normalizer,COMPLETE
25,0.6974934140100701,2025-03-18 11:55:42.466442,2025-03-18 11:56:15.434636,0 days 00:00:32.968194,90,ANOVA,SGD,,MaxAbs,COMPLETE
26,0.7412031885283608,2025-03-18 11:55:42.622438,2025-03-18 11:56:23.434939,0 days 00:00:40.812501,40,ANOVA,AB,SMOTE,QT,COMPLETE
27,0.0,2025-03-18 11:55:42.814117,2025-03-18 11:56:33.160429,0 days 00:00:50.346312,80,RF,DT,SVMSMOTE,Standard,COMPLETE
28,0.0,2025-03-18 11:55:43.170873,2025-03-18 11:56:25.604998,0 days 00:00:42.434125,40,LDA,RF,ADASYN,Standard,COMPLETE
