number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
0,0.7671164008259714,2025-03-18 12:24:18.555884,2025-03-18 12:25:13.524747,0 days 00:00:54.968863,60,Chi2,ETs,SMOTE,QT,COMPLETE
1,0.0,2025-03-18 12:24:18.681358,2025-03-18 12:25:04.765548,0 days 00:00:46.084190,90,RF,RF,ADASYN,MaxAbs,COMPLETE
2,0.8359780866136696,2025-03-18 12:24:18.822874,2025-03-18 12:25:20.896362,0 days 00:01:02.073488,60,,ETs,SMOTE,Standard,COMPLETE
3,0.7883807070498455,2025-03-18 12:24:18.932652,2025-03-18 12:25:17.371311,0 days 00:00:58.438659,10,,MLP,BorderlineSMOTE,Standard,COMPLETE
4,0.0,2025-03-18 12:24:19.042548,2025-03-18 12:25:12.831371,0 days 00:00:53.788823,60,LDA,KNN,,Normalizer,COMPLETE
5,0.777277793991223,2025-03-18 12:24:19.168016,2025-03-18 12:25:28.976799,0 days 00:01:09.808783,100,,ETs,BorderlineSMOTE,Robust,COMPLETE
6,0.0,2025-03-18 12:24:19.262311,2025-03-18 12:25:06.048300,0 days 00:00:46.785989,50,Chi2,RF,BorderlineSMOTE,Normalizer,COMPLETE
7,0.7189443889440637,2025-03-18 12:24:19.403975,2025-03-18 12:25:11.052154,0 days 00:00:51.648179,10,ANOVA,SGD,SMOTE,MinMax,COMPLETE
8,0.7089274214823573,2025-03-18 12:24:19.545205,2025-03-18 12:25:09.244920,0 days 00:00:49.699715,60,RFE,SGD,,MaxAbs,COMPLETE
9,0.7735982127741543,2025-03-18 12:24:19.688974,2025-03-18 12:25:24.320088,0 days 00:01:04.631114,100,,ETs,BorderlineSMOTE,Standard,COMPLETE
10,0.742284154134772,2025-03-18 12:24:19.812433,2025-03-18 12:25:13.129921,0 days 00:00:53.317488,80,,DT,SMOTE,,COMPLETE
11,0.0,2025-03-18 12:24:19.922380,2025-03-18 12:25:07.846933,0 days 00:00:47.924553,30,LDA,KNN,BorderlineSMOTE,QT,COMPLETE
12,0.739066770403286,2025-03-18 12:24:20.032283,2025-03-18 12:25:10.282116,0 days 00:00:50.249833,10,ANOVA,KNN,,Normalizer,COMPLETE
13,0.0,2025-03-18 12:24:20.157723,2025-03-18 12:25:10.062235,0 days 00:00:49.904512,50,RF,MLP,,Standard,COMPLETE
14,0.7622890115343633,2025-03-18 12:24:20.267629,2025-03-18 12:25:23.468248,0 days 00:01:03.200619,100,,ETs,BorderlineSMOTE,Standard,COMPLETE
15,0.7665412447596143,2025-03-18 12:24:20.394071,2025-03-18 12:25:01.669819,0 days 00:00:41.275748,30,MI,RF,SMOTE,QT,COMPLETE
16,0.7987214260389264,2025-03-18 12:24:20.519650,2025-03-18 12:24:48.581104,0 days 00:00:28.061454,10,,ETs,SMOTE,Robust,COMPLETE
17,0.7931228606614193,2025-03-18 12:24:20.693277,2025-03-18 12:25:20.723365,0 days 00:01:00.030088,60,,ETs,SMOTE,Standard,COMPLETE
18,0.8091588643912369,2025-03-18 12:24:20.834490,2025-03-18 12:24:57.396173,0 days 00:00:36.561683,60,PCA,MLP,SMOTE,Standard,COMPLETE
19,0.0,2025-03-18 12:24:20.975678,2025-03-18 12:25:01.968185,0 days 00:00:40.992507,60,RF,MLP,ADASYN,QT,COMPLETE
20,0.7713602414484393,2025-03-18 12:24:21.101707,2025-03-18 12:25:10.580686,0 days 00:00:49.478979,50,PCA,ETs,,MinMax,COMPLETE
21,0.7740601155436738,2025-03-18 12:24:21.227322,2025-03-18 12:24:48.565414,0 days 00:00:27.338092,40,PCA,KNN,SMOTE,QT,COMPLETE
22,0.7701586393079335,2025-03-18 12:24:21.352891,2025-03-18 12:25:04.012328,0 days 00:00:42.659437,10,RF,RF,ADASYN,,COMPLETE
23,0.7635471306113909,2025-03-18 12:24:21.478446,2025-03-18 12:25:39.462997,0 days 00:01:17.984551,10,,SGD,BorderlineSMOTE,Standard,COMPLETE
24,0.8006970046081134,2025-03-18 12:24:21.604477,2025-03-18 12:25:10.926521,0 days 00:00:49.322044,30,ANOVA,ETs,BorderlineSMOTE,QT,COMPLETE
