number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
0,0.7157438719299318,2025-03-18 12:10:50.306904,2025-03-18 12:11:30.374224,0 days 00:00:40.067320,90,,AB,ADASYN,Normalizer,COMPLETE
1,0.0,2025-03-18 12:10:50.317965,2025-03-18 12:11:09.090137,0 days 00:00:18.772172,30,LDA,KNN,SVMSMOTE,,COMPLETE
2,0.0,2025-03-18 12:10:50.558442,2025-03-18 12:11:19.520491,0 days 00:00:28.962049,100,MI,DT,BorderlineSMOTE,MinMax,COMPLETE
3,0.0,2025-03-18 12:10:50.715266,2025-03-18 12:11:48.750778,0 days 00:00:58.035512,10,RF,AB,SVMSMOTE,Normalizer,COMPLETE
4,0.7854888568562999,2025-03-18 12:10:50.841418,2025-03-18 12:11:09.090137,0 days 00:00:18.248719,20,LDA,MLP,BorderlineSMOTE,Robust,COMPLETE
5,0.7620207283643088,2025-03-18 12:10:50.951337,2025-03-18 12:11:10.284283,0 days 00:00:19.332946,80,,KNN,SVMSMOTE,Standard,COMPLETE
6,0.34369747899170267,2025-03-18 12:10:51.029956,2025-03-18 12:11:28.380425,0 days 00:00:37.350469,50,RFE,SGD,SMOTE,,COMPLETE
7,0.0,2025-03-18 12:10:51.155445,2025-03-18 12:11:18.326052,0 days 00:00:27.170607,70,LDA,SGD,ADASYN,MinMax,COMPLETE
8,0.0,2025-03-18 12:10:51.359627,2025-03-18 12:11:02.732133,0 days 00:00:11.372506,30,Chi2,SGD,SVMSMOTE,Normalizer,COMPLETE
9,0.7667563488302057,2025-03-18 12:10:51.469598,2025-03-18 12:11:24.877045,0 days 00:00:33.407447,60,PCA,KNN,SVMSMOTE,MinMax,COMPLETE
10,0.7872730763882967,2025-03-18 12:10:51.595178,2025-03-18 12:11:15.325459,0 days 00:00:23.730281,50,RFE,ETs,BorderlineSMOTE,Normalizer,COMPLETE
11,0.0,2025-03-18 12:10:51.705138,2025-03-18 12:11:22.222920,0 days 00:00:30.517782,30,Chi2,DT,,Robust,COMPLETE
12,0.0,2025-03-18 12:10:51.820575,2025-03-18 12:11:49.064678,0 days 00:00:57.244103,80,Chi2,ETs,BorderlineSMOTE,Normalizer,COMPLETE
13,0.7921981531886384,2025-03-18 12:10:51.925265,2025-03-18 12:11:54.247998,0 days 00:01:02.322733,50,RFE,ETs,,MaxAbs,COMPLETE
14,0.7838518052854528,2025-03-18 12:10:52.021111,2025-03-18 12:11:54.420782,0 days 00:01:02.399671,50,RFE,ETs,SMOTE,MaxAbs,COMPLETE
15,0.7857647386266061,2025-03-18 12:10:52.113300,2025-03-18 12:12:50.289334,0 days 00:01:58.176034,40,RFE,RF,,MaxAbs,COMPLETE
16,0.758525385037255,2025-03-18 12:10:52.223724,2025-03-18 12:13:07.956104,0 days 00:02:15.732380,20,RFE,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
17,0.7255937751547247,2025-03-18 12:10:52.364958,2025-03-18 12:12:52.771432,0 days 00:02:00.406474,20,RFE,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
18,0.0,2025-03-18 12:10:52.474872,2025-03-18 12:11:17.336946,0 days 00:00:24.862074,10,PCA,RF,SMOTE,Normalizer,COMPLETE
19,0.757704136144888,2025-03-18 12:10:52.569094,2025-03-18 12:12:59.752813,0 days 00:02:07.183719,20,RFE,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
20,0.7304498070762178,2025-03-18 12:10:52.726179,2025-03-18 12:12:18.874489,0 days 00:01:26.148310,50,RFE,ETs,SMOTE,MaxAbs,COMPLETE
21,0.7670059151010244,2025-03-18 12:10:52.836123,2025-03-18 12:13:19.046655,0 days 00:02:26.210532,20,RFE,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
22,0.707142070958621,2025-03-18 12:10:52.946161,2025-03-18 12:12:46.518226,0 days 00:01:53.572065,50,RFE,ETs,ADASYN,MinMax,COMPLETE
23,0.7743890593229766,2025-03-18 12:10:53.071179,2025-03-18 12:11:59.858483,0 days 00:01:06.787304,50,RFE,ETs,SMOTE,MaxAbs,COMPLETE
24,0.8019560786293294,2025-03-18 12:10:53.181091,2025-03-18 12:12:45.402696,0 days 00:01:52.221605,50,RFE,ETs,SMOTE,MaxAbs,COMPLETE
25,0.7449073905134336,2025-03-18 12:10:53.291016,2025-03-18 12:13:01.921776,0 days 00:02:08.630760,40,ANOVA,RF,,Standard,COMPLETE
26,0.0,2025-03-18 12:10:53.400814,2025-03-18 12:11:29.353811,0 days 00:00:35.952997,90,RF,SGD,ADASYN,Normalizer,COMPLETE
27,0.7557367756390752,2025-03-18 12:10:53.510640,2025-03-18 12:11:42.385853,0 days 00:00:48.875213,70,ANOVA,KNN,SVMSMOTE,Normalizer,COMPLETE
28,0.0,2025-03-18 12:10:53.620588,2025-03-18 12:11:10.284283,0 days 00:00:16.663695,10,RF,DT,ADASYN,Normalizer,COMPLETE
29,0.7893295790640148,2025-03-18 12:10:53.731046,2025-03-18 12:13:02.187813,0 days 00:02:08.456767,20,RFE,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
30,0.7617869271701736,2025-03-18 12:10:53.935273,2025-03-18 12:12:18.874489,0 days 00:01:24.939216,50,RFE,ETs,BorderlineSMOTE,Robust,COMPLETE
31,0.0,2025-03-18 12:10:54.123333,2025-03-18 12:11:26.745877,0 days 00:00:32.622544,70,LDA,ETs,,,COMPLETE
32,0.7722313789057631,2025-03-18 12:10:54.217635,2025-03-18 12:11:26.950121,0 days 00:00:32.732486,50,Chi2,RF,ADASYN,QT,COMPLETE
33,0.76493474356187,2025-03-18 12:10:54.343212,2025-03-18 12:11:38.206108,0 days 00:00:43.862896,70,MI,KNN,,QT,COMPLETE
34,0.0,2025-03-18 12:10:54.468807,2025-03-18 12:11:50.604624,0 days 00:00:56.135817,100,MI,MLP,SMOTE,Standard,COMPLETE
35,0.7603032430064713,2025-03-18 12:10:54.611959,2025-03-18 12:11:28.647763,0 days 00:00:34.035804,70,MI,KNN,,Standard,COMPLETE
36,0.7937475549579647,2025-03-18 12:10:54.721781,2025-03-18 12:12:46.000027,0 days 00:01:51.278246,50,RFE,ETs,SMOTE,MaxAbs,COMPLETE
37,0.7780684857515114,2025-03-18 12:10:54.847811,2025-03-18 12:11:37.200875,0 days 00:00:42.353064,70,ANOVA,AB,SVMSMOTE,,COMPLETE
38,0.0,2025-03-18 12:10:54.957792,2025-03-18 12:11:20.289407,0 days 00:00:25.331615,30,RF,AB,ADASYN,MinMax,COMPLETE
39,0.7753495265297987,2025-03-18 12:10:55.067756,2025-03-18 12:11:19.724770,0 days 00:00:24.657014,80,MI,AB,BorderlineSMOTE,MinMax,COMPLETE
40,0.7344229959184103,2025-03-18 12:10:55.192770,2025-03-18 12:12:24.734462,0 days 00:01:29.541692,50,RFE,ETs,SMOTE,MaxAbs,COMPLETE
41,0.801339804701065,2025-03-18 12:10:55.365698,2025-03-18 12:11:21.515921,0 days 00:00:26.150223,80,RFE,RF,SVMSMOTE,MaxAbs,COMPLETE
42,0.0,2025-03-18 12:10:55.491135,2025-03-18 12:11:18.844412,0 days 00:00:23.353277,10,Chi2,MLP,,QT,COMPLETE
43,0.7173530495371352,2025-03-18 12:10:55.616710,2025-03-18 12:12:00.486625,0 days 00:01:04.869915,40,,AB,BorderlineSMOTE,MaxAbs,COMPLETE
44,0.7672356217746031,2025-03-18 12:10:55.758480,2025-03-18 12:12:00.313583,0 days 00:01:04.555103,50,RFE,ETs,SMOTE,MaxAbs,COMPLETE
45,0.796694209014074,2025-03-18 12:10:55.868436,2025-03-18 12:11:54.043779,0 days 00:00:58.175343,40,ANOVA,RF,,Standard,COMPLETE
46,0.7589755549350603,2025-03-18 12:10:55.994000,2025-03-18 12:12:08.099244,0 days 00:01:12.105244,90,RFE,ETs,SMOTE,MaxAbs,COMPLETE
47,0.0,2025-03-18 12:10:56.103871,2025-03-18 12:11:50.604624,0 days 00:00:54.500753,100,RF,ETs,ADASYN,,COMPLETE
48,0.7552465378432485,2025-03-18 12:10:56.245407,2025-03-18 12:12:45.229858,0 days 00:01:48.984451,20,RFE,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
49,0.0,2025-03-18 12:10:56.339737,2025-03-18 12:11:44.568902,0 days 00:00:48.229165,10,RF,DT,,QT,COMPLETE
50,0.7189694264084594,2025-03-18 12:10:57.407645,2025-03-18 12:12:50.085648,0 days 00:01:52.678003,20,RFE,ETs,BorderlineSMOTE,MaxAbs,COMPLETE
51,0.7800031619834148,2025-03-18 12:10:59.402471,2025-03-18 12:12:45.811589,0 days 00:01:46.409118,40,RFE,ETs,BorderlineSMOTE,MaxAbs,COMPLETE
52,0.8094748819132374,2025-03-18 12:11:08.304846,2025-03-18 12:12:50.587657,0 days 00:01:42.282811,40,RFE,RF,,MaxAbs,COMPLETE
53,0.7925505072199934,2025-03-18 12:11:09.498726,2025-03-18 12:12:46.408365,0 days 00:01:36.909639,20,RFE,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
