Model,Scaler,FS Tech,FS Ratio,OV Tech,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
MLP,Robust,LDA,20,BorderlineSMOTE,135.0000000001,13.0000000001,51.0000000001,39.0000000001,0.9121621621616053,0.7258064516126604,0.8083832335325649,0.7310924369756302,0.7499999999990384,0.7854888568562999,0.9121621621616053,0.7258064516126604,0.8083832335325649,0.7310924369744016,0.7499999999990384,0.7854888568560543,[0.21848739 0.78151261],[ 52 186],0.9121621621616053,0.7258064516126604,0.8083832335325649,0.7310924369756302,0.7499999999990384,0.7854888568562999
KNN,Standard,,80,SVMSMOTE,138.0000000001,18.0000000001,48.0000000001,34.0000000001,0.8846153846148915,0.7419354838707076,0.80701754385929,0.7226890756310923,0.6538461538455621,0.7620207283643088,0.8846153846148915,0.7419354838707076,0.80701754385929,0.7226890756298778,0.6538461538455621,0.7620207283640659,[0.21848739 0.78151261],[ 52 186],0.8846153846148915,0.7419354838707077,0.8070175438592901,0.7226890756310923,0.6538461538455621,0.7620207283643088
ETs,Normalizer,RFE,50,BorderlineSMOTE,161.0000000001,24.0000000001,25.0000000001,28.0000000001,0.87027027026987,0.8655913978490694,0.8679245283014901,0.7941176470596638,0.5384615384613906,0.7872730763882967,0.87027027026987,0.8655913978490694,0.8679245283014901,0.7941176470583293,0.5384615384613906,0.7872730763880299,[0.21848739 0.78151261],[ 52 186],0.87027027026987,0.8655913978490694,0.8679245283014901,0.7941176470596638,0.5384615384613906,0.7872730763882967
SGD,,RFE,50,SMOTE,1e-10,1e-10,186.0000000001,52.0000000001,0.5,5.376344086015725e-13,1.0752688172019887e-12,0.21848739495882355,0.9999999999980769,0.34369747899170267,0.5,5.376344086015725e-13,1.0752688172019887e-12,0.21848739495845634,0.9999999999980769,0.3436974789916293,[0.21848739 0.78151261],[ 52 186],0.5,5.376344086015725e-13,1.0752688172019887e-12,0.21848739495882355,0.9999999999980769,0.34369747899170267
AB,MinMax,MI,80,BorderlineSMOTE,129.0000000001,12.0000000001,57.0000000001,40.0000000001,0.9148936170206882,0.6935483870965661,0.7889908256877199,0.7100840336142856,0.7692307692297337,0.7753495265297987,0.9148936170206882,0.6935483870965661,0.7889908256877199,0.7100840336130924,0.7692307692297337,0.77534952652956,[0.21848739 0.78151261],[ 52 186],0.9148936170206882,0.6935483870965661,0.7889908256877199,0.7100840336142856,0.7692307692297338,0.7753495265297987
RF,MaxAbs,RFE,80,SVMSMOTE,164.0000000001,23.0000000001,22.0000000001,29.0000000001,0.8770053475931797,0.8817204301071164,0.8793565683642044,0.8109243697487394,0.5576923076920858,0.801339804701065,0.8770053475931797,0.8817204301071164,0.8793565683642044,0.8109243697473767,0.5576923076920858,0.8013398047007925,[0.21848739 0.78151261],[ 52 186],0.8770053475931796,0.8817204301071164,0.8793565683642045,0.8109243697487394,0.5576923076920858,0.801339804701065
KNN,Normalizer,ANOVA,70,SVMSMOTE,138.0000000001,19.0000000001,48.0000000001,33.0000000001,0.8789808917192625,0.7419354838707076,0.8046647230317148,0.7184873949588234,0.6346153846148669,0.755736775639075,0.8789808917192625,0.7419354838707076,0.8046647230317148,0.718487394957616,0.6346153846148669,0.7557367756388336,[0.21848739 0.78151261],[ 52 186],0.8789808917192625,0.7419354838707077,0.8046647230317148,0.7184873949588234,0.6346153846148669,0.7557367756390752
KNN,MinMax,PCA,60,SVMSMOTE,142.0000000001,19.0000000001,44.0000000001,33.0000000001,0.881987577639277,0.7634408602147705,0.818443804034215,0.7352941176478991,0.6346153846148669,0.7667563488302057,0.881987577639277,0.7634408602147705,0.818443804034215,0.7352941176466634,0.6346153846148669,0.7667563488299586,[0.21848739 0.78151261],[ 52 186],0.881987577639277,0.7634408602147705,0.818443804034215,0.7352941176478991,0.6346153846148669,0.7667563488302057
RF,QT,Chi2,50,ADASYN,144.0000000001,19.0000000001,42.0000000001,33.0000000001,0.8834355828216155,0.774193548386802,0.8252148997130945,0.7436974789924369,0.6346153846148669,0.7722313789057631,0.8834355828216155,0.774193548386802,0.8252148997130945,0.7436974789911871,0.6346153846148669,0.7722313789055132,[0.21848739 0.78151261],[ 52 186],0.8834355828216155,0.774193548386802,0.8252148997130945,0.7436974789924369,0.6346153846148669,0.7722313789057631
KNN,Standard,MI,70,,169.0000000001,32.0000000001,17.0000000001,20.0000000001,0.8407960199001585,0.9086021505371951,0.8733850129195108,0.7941176470596638,0.38461538461582834,0.7603032430064713,0.8407960199001585,0.9086021505371951,0.8733850129195108,0.7941176470583293,0.38461538461582834,0.7603032430062043,[0.21848739 0.78151261],[ 52 186],0.8407960199001585,0.9086021505371951,0.8733850129195108,0.7941176470596638,0.38461538461582834,0.7603032430064713
