Model,Scaler,FS Tech,FS Ratio,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
RF,Standard,ANOVA,20,155.0000000001,33.0000000001,31.0000000001,19.0000000001,0.8244680851060379,0.833333333332975,0.8288770053472418,0.7310924369756302,0.36538461538513306,0.7166310952294036,0.8244680851060379,0.833333333332975,0.8288770053472418,0.7310924369744016,0.36538461538513306,0.7166310952291579,[0.21848739 0.78151261],[ 52 186],0.8244680851060378,0.833333333332975,0.8288770053472418,0.7310924369756302,0.36538461538513306,0.7166310952294036
RF,Standard,ANOVA,90,175.0000000001,26.0000000001,11.0000000001,26.0000000001,0.8706467661687854,0.9408602150532894,0.9043927648574633,0.8445378151268906,0.5,0.8120875122412858,0.8706467661687854,0.9408602150532894,0.9043927648574633,0.8445378151254714,0.5,0.812087512241002,[0.21848739 0.78151261],[ 52 186],0.8706467661687854,0.9408602150532894,0.9043927648574633,0.8445378151268906,0.5,0.8120875122412858
RF,Standard,ANOVA,50,169.0000000001,30.0000000001,17.0000000001,22.0000000001,0.849246231155428,0.9086021505371951,0.8779220779216853,0.8025210084042016,0.42307692307721895,0.7722736782191457,0.849246231155428,0.9086021505371951,0.8779220779216853,0.802521008402853,0.42307692307721895,0.7722736782188762,[0.21848739 0.78151261],[ 52 186],0.8492462311554279,0.9086021505371951,0.8779220779216852,0.8025210084042016,0.423076923077219,0.7722736782191457
RF,Standard,ANOVA,40,162.0000000001,29.0000000001,24.0000000001,23.0000000001,0.8481675392666512,0.8709677419350851,0.859416445622961,0.7773109243705881,0.4423076923079142,0.7596340687006399,0.8481675392666512,0.8709677419350851,0.859416445622961,0.7773109243692818,0.4423076923079142,0.7596340687003786,[0.21848739 0.78151261],[ 52 186],0.8481675392666512,0.8709677419350852,0.859416445622961,0.7773109243705881,0.4423076923079142,0.7596340687006399
RF,Standard,ANOVA,70,173.0000000001,27.0000000001,13.0000000001,25.0000000001,0.8649999999996351,0.930107526881258,0.896373056994408,0.831932773110084,0.4807692307693047,0.8008365175509379,0.8649999999996351,0.930107526881258,0.896373056994408,0.8319327731086859,0.4807692307693047,0.8008365175506583,[0.21848739 0.78151261],[ 52 186],0.8649999999996352,0.930107526881258,0.896373056994408,0.831932773110084,0.4807692307693047,0.8008365175509381
RF,Standard,ANOVA,80,170.0000000001,31.0000000001,16.0000000001,21.0000000001,0.8457711442782629,0.9139784946232108,0.8785529715758361,0.8025210084042016,0.40384615384652367,0.768933954545607,0.8457711442782629,0.9139784946232108,0.8785529715758361,0.802521008402853,0.40384615384652367,0.7689339545453373,[0.21848739 0.78151261],[ 52 186],0.8457711442782629,0.9139784946232108,0.8785529715758361,0.8025210084042016,0.40384615384652367,0.768933954545607
RF,Standard,ANOVA,60,171.0000000001,29.0000000001,15.0000000001,23.0000000001,0.854999999999645,0.9193548387092265,0.8860103626939007,0.8151260504210083,0.4423076923079142,0.7835597888263389,0.854999999999645,0.9193548387092265,0.8860103626939007,0.8151260504196385,0.4423076923079142,0.783559788826065,[0.21848739 0.78151261],[ 52 186],0.854999999999645,0.9193548387092265,0.8860103626939007,0.8151260504210083,0.4423076923079142,0.7835597888263389
RF,Standard,ANOVA,30,176.0000000001,23.0000000001,10.0000000001,29.0000000001,0.8844221105523775,0.9462365591393052,0.9142857142852838,0.8613445378159663,0.5576923076920858,0.8327962458970036,0.8844221105523775,0.9462365591393052,0.9142857142852838,0.8613445378145188,0.5576923076920858,0.8327962458967141,[0.21848739 0.78151261],[ 52 186],0.8844221105523775,0.9462365591393052,0.9142857142852838,0.8613445378159663,0.5576923076920858,0.8327962458970036
RF,Standard,,100,181.0000000001,36.0000000001,5.0000000001,16.0000000001,0.8341013824881713,0.9731182795693838,0.89826302729489,0.8277310924378151,0.3076923076930473,0.7681812178966616,0.8341013824881713,0.9731182795693838,0.89826302729489,0.8277310924364241,0.3076923076930473,0.7681812178963833,[0.21848739 0.78151261],[ 52 186],0.8341013824881713,0.9731182795693838,0.89826302729489,0.8277310924378151,0.3076923076930473,0.7681812178966616
RF,Standard,,20,173.0000000001,33.0000000001,13.0000000001,19.0000000001,0.8398058252423886,0.930107526881258,0.8826530612240994,0.8067226890764705,0.36538461538513306,0.76493474356187,0.8398058252423886,0.930107526881258,0.8826530612240994,0.8067226890751148,0.36538461538513306,0.7649347435615989,[0.21848739 0.78151261],[ 52 186],0.8398058252423886,0.930107526881258,0.8826530612240994,0.8067226890764705,0.36538461538513306,0.76493474356187
RF,Standard,,90,178.0000000001,32.0000000001,8.0000000001,20.0000000001,0.8476190476187166,0.9569892473113366,0.898989898989496,0.831932773110084,0.38461538461582834,0.7840292703290923,0.8476190476187166,0.9569892473113366,0.898989898989496,0.8319327731086859,0.38461538461582834,0.7840292703288126,[0.21848739 0.78151261],[ 52 186],0.8476190476187166,0.9569892473113366,0.898989898989496,0.831932773110084,0.38461538461582834,0.7840292703290923
RF,Standard,,10,175.0000000001,30.0000000001,11.0000000001,22.0000000001,0.8536585365850209,0.9408602150532894,0.8951406649612326,0.8277310924378151,0.42307692307721895,0.7880934864229154,0.8536585365850209,0.9408602150532894,0.8951406649612326,0.8277310924364241,0.42307692307721895,0.7880934864226372,[0.21848739 0.78151261],[ 52 186],0.8536585365850209,0.9408602150532894,0.8951406649612326,0.8277310924378151,0.423076923077219,0.7880934864229154
RF,Standard,,50,179.0000000001,23.0000000001,7.0000000001,29.0000000001,0.8861386138610039,0.9623655913973523,0.9226804123706983,0.873949579832773,0.5576923076920858,0.8405653010307826,0.8861386138610039,0.9623655913973523,0.9226804123706983,0.8739495798313044,0.5576923076920858,0.8405653010304889,[0.21848739 0.78151261],[ 52 186],0.8861386138610039,0.9623655913973523,0.9226804123706983,0.873949579832773,0.5576923076920858,0.8405653010307826
RF,Standard,,40,177.0000000001,30.0000000001,9.0000000001,22.0000000001,0.8550724637677729,0.9516129032253209,0.9007633587782181,0.8361344537823528,0.42307692307721895,0.7933320205261768,0.8550724637677729,0.9516129032253209,0.9007633587782181,0.8361344537809478,0.42307692307721895,0.7933320205258958,[0.21848739 0.78151261],[ 52 186],0.8550724637677729,0.9516129032253209,0.9007633587782181,0.8361344537823528,0.423076923077219,0.7933320205261768
RF,Standard,,70,174.0000000001,30.0000000001,12.0000000001,22.0000000001,0.8529411764702423,0.9354838709672737,0.89230769230729,0.8235294117655461,0.42307692307721895,0.7854678149175142,0.8529411764702423,0.9354838709672737,0.89230769230729,0.8235294117641622,0.42307692307721895,0.7854678149172374,[0.21848739 0.78151261],[ 52 186],0.8529411764702423,0.9354838709672737,0.89230769230729,0.8235294117655461,0.423076923077219,0.7854678149175142
RF,Standard,,80,179.0000000001,32.0000000001,7.0000000001,20.0000000001,0.848341232227158,0.9623655913973523,0.9017632241809554,0.8361344537823528,0.38461538461582834,0.7866439772407294,0.848341232227158,0.9623655913973523,0.9017632241809554,0.8361344537809478,0.38461538461582834,0.7866439772404484,[0.21848739 0.78151261],[ 52 186],0.848341232227158,0.9623655913973523,0.9017632241809554,0.8361344537823528,0.38461538461582834,0.7866439772407294
RF,Standard,,60,178.0000000001,28.0000000001,8.0000000001,24.0000000001,0.8640776699025592,0.9569892473113366,0.908163265305706,0.8487394957991595,0.46153846153860945,0.8079016279714741,0.8640776699025592,0.9569892473113366,0.908163265305706,0.8487394957977333,0.46153846153860945,0.8079016279711888,[0.21848739 0.78151261],[ 52 186],0.8640776699025592,0.9569892473113366,0.908163265305706,0.8487394957991595,0.46153846153860945,0.8079016279714741
RF,Standard,,30,171.0000000001,27.0000000001,15.0000000001,25.0000000001,0.8636363636359964,0.9193548387092265,0.8906249999995932,0.8235294117655461,0.4807692307693047,0.7955829689759334,0.8636363636359964,0.9193548387092265,0.8906249999995932,0.8235294117641622,0.4807692307693047,0.7955829689756565,[0.21848739 0.78151261],[ 52 186],0.8636363636359964,0.9193548387092265,0.8906249999995932,0.8235294117655461,0.4807692307693047,0.7955829689759334
RF,Standard,PCA,20,152.0000000001,41.0000000001,34.0000000001,11.0000000001,0.7875647668390803,0.8172043010749278,0.8021108179416336,0.6848739495806722,0.21153846153957098,0.660658459395177,0.7875647668390803,0.8172043010749278,0.8021108179416336,0.6848739495795213,0.21153846153957098,0.6606584593949468,[0.21848739 0.78151261],[ 52 186],0.7875647668390802,0.8172043010749278,0.8021108179416336,0.6848739495806722,0.21153846153957098,0.660658459395177
RF,Standard,PCA,90,179.0000000001,37.0000000001,7.0000000001,15.0000000001,0.8287037037033994,0.9623655913973523,0.8905472636812036,0.8151260504210083,0.28846153846235206,0.7570408295330632,0.8287037037033994,0.9623655913973523,0.8905472636812036,0.8151260504196385,0.28846153846235206,0.7570408295327892,[0.21848739 0.78151261],[ 52 186],0.8287037037033994,0.9623655913973523,0.8905472636812036,0.8151260504210083,0.28846153846235206,0.7570408295330632
RF,Standard,PCA,50,183.0000000001,37.0000000001,3.0000000001,15.0000000001,0.8318181818178803,0.9838709677414152,0.9014778325119198,0.831932773110084,0.28846153846235206,0.7675122587287302,0.8318181818178803,0.9838709677414152,0.9014778325119198,0.8319327731086859,0.28846153846235206,0.7675122587284505,[0.21848739 0.78151261],[ 52 186],0.8318181818178803,0.9838709677414152,0.9014778325119198,0.831932773110084,0.28846153846235206,0.7675122587287302
RF,Standard,PCA,40,178.0000000001,39.0000000001,8.0000000001,13.0000000001,0.8202764976955574,0.9569892473113366,0.8833746898259223,0.8025210084042016,0.2500000000009615,0.7426322886475959,0.8202764976955574,0.9569892473113366,0.8833746898259223,0.802521008402853,0.2500000000009615,0.7426322886473262,[0.21848739 0.78151261],[ 52 186],0.8202764976955574,0.9569892473113366,0.8833746898259223,0.8025210084042016,0.2500000000009615,0.7426322886475959
RF,Standard,PCA,70,174.0000000001,32.0000000001,12.0000000001,20.0000000001,0.8446601941744227,0.9354838709672737,0.8877551020404206,0.8151260504210083,0.38461538461582834,0.7735281204437907,0.8446601941744227,0.9354838709672737,0.8877551020404206,0.8151260504196385,0.38461538461582834,0.7735281204435168,[0.21848739 0.78151261],[ 52 186],0.8446601941744227,0.9354838709672737,0.8877551020404206,0.8151260504210083,0.38461538461582834,0.7735281204437907
RF,Standard,PCA,80,177.0000000001,32.0000000001,9.0000000001,20.0000000001,0.8468899521527782,0.9516129032253209,0.8962025316451684,0.8277310924378151,0.38461538461582834,0.7814103728153822,0.8468899521527782,0.9516129032253209,0.8962025316451684,0.8277310924364241,0.38461538461582834,0.781410372815104,[0.21848739 0.78151261],[ 52 186],0.8468899521527782,0.9516129032253209,0.8962025316451684,0.8277310924378151,0.38461538461582834,0.7814103728153822
RF,Standard,PCA,60,181.0000000001,30.0000000001,5.0000000001,22.0000000001,0.857819905212931,0.9731182795693838,0.9118387909315749,0.8529411764714284,0.42307692307721895,0.8037590150525075,0.857819905212931,0.9731182795693838,0.9118387909315749,0.8529411764699951,0.42307692307721895,0.8037590150522208,[0.21848739 0.78151261],[ 52 186],0.857819905212931,0.9731182795693838,0.9118387909315749,0.8529411764714284,0.423076923077219,0.8037590150525075
RF,Standard,PCA,30,169.0000000001,28.0000000001,17.0000000001,24.0000000001,0.8578680203042053,0.9086021505371951,0.8825065274147442,0.8109243697487394,0.46153846153860945,0.7842879059086987,0.8578680203042053,0.9086021505371951,0.8825065274147442,0.8109243697473767,0.46153846153860945,0.7842879059084262,[0.21848739 0.78151261],[ 52 186],0.8578680203042053,0.9086021505371951,0.8825065274147442,0.8109243697487394,0.46153846153860945,0.7842879059086987
RF,Standard,LDA,20,153.0000000001,33.0000000001,33.0000000001,19.0000000001,0.8225806451609435,0.8225806451609435,0.8225806451609435,0.7226890756310923,0.36538461538513306,0.7111631252998112,0.8225806451609435,0.8225806451609435,0.8225806451609435,0.7226890756298778,0.36538461538513306,0.7111631252995683,[0.21848739 0.78151261],[ 52 186],0.8225806451609434,0.8225806451609434,0.8225806451609434,0.7226890756310923,0.36538461538513306,0.7111631252998112
RF,Standard,MI,20,151.0000000001,25.0000000001,35.0000000001,27.0000000001,0.8579545454541387,0.8118279569889121,0.8342541436460396,0.7478991596647058,0.5192307692306952,0.7542333149968983,0.8579545454541387,0.8118279569889121,0.8342541436460396,0.747899159663449,0.5192307692306952,0.7542333149966469,[0.21848739 0.78151261],[ 52 186],0.8579545454541387,0.8118279569889122,0.8342541436460397,0.7478991596647058,0.5192307692306952,0.7542333149968983
RF,Standard,MI,90,168.0000000001,32.0000000001,18.0000000001,20.0000000001,0.83999999999966,0.9032258064511793,0.8704663212431395,0.7899159663873948,0.38461538461582834,0.7576446957394404,0.83999999999966,0.9032258064511793,0.8704663212431395,0.7899159663860674,0.38461538461582834,0.7576446957391749,[0.21848739 0.78151261],[ 52 186],0.8399999999996601,0.9032258064511793,0.8704663212431395,0.7899159663873948,0.38461538461582834,0.7576446957394404
RF,Standard,MI,50,173.0000000001,26.0000000001,13.0000000001,26.0000000001,0.8693467336679706,0.930107526881258,0.8987012987008844,0.8361344537823528,0.5,0.8068580026064932,0.8693467336679706,0.930107526881258,0.8987012987008844,0.8361344537809478,0.5,0.8068580026062122,[0.21848739 0.78151261],[ 52 186],0.8693467336679706,0.930107526881258,0.8987012987008844,0.8361344537823528,0.5,0.8068580026064932
RF,Standard,MI,40,165.0000000001,28.0000000001,21.0000000001,24.0000000001,0.8549222797923783,0.8870967741931322,0.8707124010550177,0.7941176470596638,0.46153846153860945,0.7736775127277602,0.8549222797923783,0.8870967741931322,0.8707124010550177,0.7941176470583293,0.46153846153860945,0.7736775127274934,[0.21848739 0.78151261],[ 52 186],0.8549222797923783,0.8870967741931322,0.8707124010550177,0.7941176470596638,0.46153846153860945,0.7736775127277602
