Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
MLP,Normalizer,186.0000000001,52.0000000001,1e-10,1e-10,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409,0.7815126050417802,0.9999999999994624,0.8773584905656817,0.7815126050415437,1.9230769230695266e-12,0.6880767401300782,[0.21848739 0.78151261],[ 52 186],0.7815126050417802,0.9999999999994624,0.8773584905656817,0.781512605042857,1.9230769230695266e-12,0.6880767401303409
MLP,Standard,179.0000000001,25.0000000001,7.0000000001,27.0000000001,0.8774509803917868,0.9623655913973523,0.9179487179482894,0.8655462184882352,0.5192307692306952,0.8285084554912718,0.8774509803917868,0.9623655913973523,0.9179487179482894,0.8655462184867807,0.5192307692306952,0.8285084554909808,[0.21848739 0.78151261],[ 52 186],0.8774509803917867,0.9623655913973523,0.9179487179482893,0.8655462184882352,0.5192307692306952,0.8285084554912718
MLP,MinMax,184.0000000001,32.0000000001,2.0000000001,20.0000000001,0.8518518518515261,0.989247311827431,0.915422885571726,0.8571428571436974,0.38461538461582834,0.7996560582020418,0.8518518518515261,0.989247311827431,0.915422885571726,0.857142857142257,0.38461538461582834,0.7996560582017537,[0.21848739 0.78151261],[ 52 186],0.8518518518515261,0.989247311827431,0.915422885571726,0.8571428571436974,0.38461538461582834,0.7996560582020418
MLP,Robust,178.0000000001,31.0000000001,8.0000000001,21.0000000001,0.8516746411479889,0.9569892473113366,0.9012658227844038,0.8361344537823528,0.40384615384652367,0.7899820637745212,0.8516746411479889,0.9569892473113366,0.9012658227844038,0.8361344537809478,0.40384615384652367,0.7899820637742401,[0.21848739 0.78151261],[ 52 186],0.8516746411479889,0.9569892473113366,0.9012658227844038,0.8361344537823528,0.40384615384652367,0.7899820637745212
MLP,MaxAbs,182.0000000001,36.0000000001,4.0000000001,16.0000000001,0.8348623853207937,0.9784946236553995,0.900990099009504,0.831932773110084,0.3076923076930473,0.7707944377577658,0.8348623853207937,0.9784946236553995,0.900990099009504,0.8319327731086859,0.3076923076930473,0.7707944377574861,[0.21848739 0.78151261],[ 52 186],0.8348623853207937,0.9784946236553995,0.900990099009504,0.831932773110084,0.3076923076930473,0.7707944377577658
MLP,QT,175.0000000001,26.0000000001,11.0000000001,26.0000000001,0.8706467661687854,0.9408602150532894,0.9043927648574633,0.8445378151268906,0.5,0.8120875122412858,0.8706467661687854,0.9408602150532894,0.9043927648574633,0.8445378151254714,0.5,0.812087512241002,[0.21848739 0.78151261],[ 52 186],0.8706467661687854,0.9408602150532894,0.9043927648574633,0.8445378151268906,0.5,0.8120875122412858
RF,Normalizer,177.0000000001,28.0000000001,9.0000000001,24.0000000001,0.863414634145987,0.9516129032253209,0.9053708439893552,0.8445378151268906,0.46153846153860945,0.8052949316052326,0.863414634145987,0.9516129032253209,0.9053708439893552,0.8445378151254714,0.46153846153860945,0.8052949316049487,[0.21848739 0.78151261],[ 52 186],0.863414634145987,0.9516129032253209,0.9053708439893552,0.8445378151268906,0.46153846153860945,0.8052949316052326
RF,Standard,179.0000000001,32.0000000001,7.0000000001,20.0000000001,0.848341232227158,0.9623655913973523,0.9017632241809554,0.8361344537823528,0.38461538461582834,0.7866439772407294,0.848341232227158,0.9623655913973523,0.9017632241809554,0.8361344537809478,0.38461538461582834,0.7866439772404484,[0.21848739 0.78151261],[ 52 186],0.848341232227158,0.9623655913973523,0.9017632241809554,0.8361344537823528,0.38461538461582834,0.7866439772407294
RF,MinMax,176.0000000001,33.0000000001,10.0000000001,19.0000000001,0.8421052631575674,0.9462365591393052,0.8911392405059331,0.8193277310932772,0.36538461538513306,0.7728386818562432,0.8421052631575674,0.9462365591393052,0.8911392405059331,0.8193277310919004,0.36538461538513306,0.7728386818559678,[0.21848739 0.78151261],[ 52 186],0.8421052631575674,0.9462365591393052,0.8911392405059331,0.8193277310932772,0.36538461538513306,0.7728386818562432
RF,Robust,174.0000000001,28.0000000001,12.0000000001,24.0000000001,0.8613861386135037,0.9354838709672737,0.8969072164944363,0.831932773110084,0.46153846153860945,0.7974496921447815,0.8613861386135037,0.9354838709672737,0.8969072164944363,0.8319327731086859,0.46153846153860945,0.7974496921445018,[0.21848739 0.78151261],[ 52 186],0.8613861386135035,0.9354838709672737,0.8969072164944362,0.831932773110084,0.46153846153860945,0.7974496921447815
