Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity
MLP,Normalizer,[8.7e+01 1.0e-10 1.0e-10],[6.9e+01 1.0e-10 1.0e-10],[1.0e-10 4.2e+01 2.7e+01],[1.00e-10 1.14e+02 1.29e+02],0.5192307692307446,0.3333333333349784,0.40601503759519775,0.7051282051294872,0.666666666666599,0.5576923076920858,0.5576923076920858,0.5576923076920858,0.7051282051276792,0.7788461538456176,[0.55769231 0.26923077 0.17307692],[87 42 27],0.5321745562129766,0.5576923076929488,0.5446347002169322,0.6508875739657791,0.4423076923081303
MLP,Standard,[75. 24. 20.],[20. 14.  3.],[12. 18.  7.],[ 49. 100. 126.],0.7635392829885786,0.7247460925611993,0.7436371020692648,0.841880341881624,0.8546940320122913,0.7628205128195019,0.7628205128195019,0.7628205128195019,0.8418803418794654,0.8814102564095229,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7608255588793963,0.7628205128196484,0.7618217298240294,0.8192800788967457,0.8012615832177252
MLP,MinMax,[74. 28. 21.],[10. 17.  6.],[13. 14.  6.],[ 59.  97. 123.],0.760317460316291,0.7650063856948218,0.7626547160044782,0.858974358975641,0.8864793429470824,0.788461538460429,0.788461538460429,0.788461538460429,0.8589743589734387,0.894230769230011,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7934371184361103,0.7884615384605193,0.7909415035487911,0.8509615384628203,0.8709764903811954
MLP,Robust,[73. 20. 16.],[20. 20.  7.],[14. 22. 11.],[ 49.  94. 122.],0.6601994701566231,0.6359545095172773,0.6478502350973045,0.7991452991465813,0.8268142550505537,0.6987179487171844,0.6987179487171844,0.6987179487171844,0.7991452991445323,0.8493589743583024,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6927752004884492,0.6987179487174258,0.6957338845453066,0.7859960552281066,0.7817248164349697
MLP,MaxAbs,[71. 22. 16.],[20. 23.  4.],[16. 20. 11.],[ 49.  91. 125.],0.6897028897017009,0.644164690141193,0.6661564535311822,0.7991452991465813,0.8257942632104919,0.6987179487171844,0.6987179487171844,0.6987179487171844,0.7991452991445323,0.8493589743583024,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7052080398225751,0.6987179487173942,0.7019479930224483,0.78044871795,0.7786648409147799
MLP,QT,[76. 17. 22.],[17. 14. 10.],[11. 25.  5.],[ 52. 100. 119.],0.6843637992824321,0.697713312654929,0.6909740843463148,0.8247863247876069,0.8510989303383081,0.737179487178575,0.737179487178575,0.737179487178575,0.8247863247854922,0.8685897435890347,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7223816170382078,0.7371794871787267,0.7297055374482166,0.8159516765298818,0.8161173038367875
RF,Normalizer,[74. 18. 21.],[20. 17.  6.],[13. 24.  6.],[ 49.  97. 123.],0.6930991782046444,0.6856413063301204,0.6893500717372788,0.8162393162405984,0.8381701642032612,0.7243589743581115,0.7243589743581115,0.7243589743581115,0.8162393162385055,0.8621794871787907,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7121112929616379,0.7243589743582605,0.7181829203621852,0.7979536489164695,0.7901515182521097
RF,Standard,[76. 28. 22.],[13. 14.  3.],[11. 14.  5.],[ 56. 100. 126.],0.800199750310567,0.7850148999561006,0.7925345969131369,0.8717948717961539,0.8885104571329663,0.8076923076911242,0.8076923076911242,0.8076923076911242,0.8717948717939187,0.9038461538453771,[0.55769231 0.26923077 0.17307692],[87 42 27],0.8080265053286928,0.8076923076912114,0.8078593719469885,0.8570019723878698,0.8578390637080852
RF,MinMax,[78. 26. 26.],[15.  9.  2.],[ 9. 16.  1.],[ 54. 105. 127.],0.8367127496142497,0.8261874353812018,0.8314167825490277,0.888888888890171,0.8960524837532734,0.8333333333320512,0.8333333333320512,0.8333333333320511,0.8888888888878919,0.9166666666658654,[0.55769231 0.26923077 0.17307692],[87 42 27],0.828456221196847,0.8333333333320788,0.8308876204548913,0.8677268244588757,0.8548241179280099
RF,Robust,[76. 29. 20.],[14. 15.  2.],[11. 13.  7.],[ 55.  99. 127.],0.8042087542070183,0.7682600498680623,0.7858234847143157,0.8675213675226496,0.8833395419785633,0.8012820512808925,0.8012820512808925,0.8012820512808925,0.8675213675204253,0.9006410256402552,[0.55769231 0.26923077 0.17307692],[87 42 27],0.8057303807291155,0.8012820512810195,0.8035000593523608,0.8523175542419131,0.8487365746551134
RF,MaxAbs,[73. 24. 24.],[18. 15.  2.],[14. 18.  3.],[ 51.  99. 127.],0.7802197802182768,0.7664659733611917,0.7732817243537516,0.8504273504286326,0.864015870481035,0.7756410256399655,0.7756410256399655,0.7756410256399655,0.850427350426452,0.8878205128197669,[0.55769231 0.26923077 0.17307692],[87 42 27],0.7728233305145452,0.7756410256400008,0.7742296144387274,0.8231015779105524,0.8164065858034791
RF,QT,[77. 23. 26.],[18.  9.  3.],[10. 19.  1.],[ 51. 105. 126.],0.8086093466408831,0.7985464939472791,0.803546417125012,0.8717948717961539,0.8789757508019655,0.8076923076911242,0.8076923076911242,0.8076923076911242,0.8717948717939187,0.9038461538453771,[0.55769231 0.26923077 0.17307692],[87 42 27],0.8007063206744885,0.8076923076911594,0.8041841425662432,0.8471400394490138,0.8292349447150466
AB,Normalizer,[63. 19. 18.],[23. 31.  2.],[24. 23.  9.],[ 46.  83. 127.],0.6708527131769411,0.6143951833601929,0.6413839335283769,0.7606837606850428,0.7930776553782121,0.6410256410250986,0.6410256410250986,0.6410256410250986,0.7606837606830924,0.8205128205122041,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6666189624320512,0.6410256410252011,0.6535718444947177,0.726577909271499,0.7382073251101228
AB,Standard,[22. 29. 21.],[10. 70.  4.],[65. 13.  6.],[ 59.  44. 125.],0.6068097643086064,0.5737091771566541,0.5897954168189997,0.6410256410269232,0.7366765413697589,0.4615384615386094,0.4615384615386094,0.4615384615386094,0.6410256410252796,0.730769230768787,[0.55769231 0.26923077 0.17307692],[87 42 27],0.6076636557876441,0.461538461538178,0.5246157752219051,0.5775394477330374,0.7484911625717257
