Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity
MLP,Normalizer,[ 72.  87. 109. 147.],[ 87.  86.  77. 132.],[127. 111.  91.  53.],[511. 513. 520. 465.],0.5171558969740114,0.5203007461549976,0.518723555063448,0.7603513174406525,0.840214669259477,0.5207026348807823,0.5207026348807823,0.5207026348807823,0.7603513174402707,0.8402342116268204,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.5172724053246036,0.5207026348807827,0.5189818521076295,0.7604064174156214,0.8401560421574465
MLP,Standard,[157. 165. 178. 178.],[24. 48. 36. 11.],[42. 33. 22. 22.],[574. 551. 561. 586.],0.8539064612432876,0.8505695142375043,0.8522347212774244,0.9253450439149311,0.9502514241586086,0.8506900878290081,0.8506900878290081,0.8506900878290082,0.9253450439144665,0.9502300292763026,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.8540884189524043,0.8506900878290083,0.8523858662485122,0.925422971022387,0.9503156088055266
MLP,MinMax,[153. 163. 161. 174.],[39. 56. 37. 14.],[46. 35. 39. 26.],[559. 543. 560. 583.],0.8199576163666378,0.8167691360841449,0.8183602705125725,0.9084065244670013,0.9389665811089261,0.8168130489331826,0.8168130489331826,0.8168130489331827,0.9084065244665452,0.9389376829776866,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.8201764537244983,0.8168130489331827,0.8184912960556785,0.9084820901469587,0.9390532755026444
MLP,Robust,[171. 153. 178. 182.],[27. 37. 37. 12.],[28. 45. 22. 18.],[571. 562. 560. 585.],0.8587377070426871,0.8580059387844741,0.8583716669541324,0.9291091593478044,0.9527507075935359,0.8582183186947471,0.8582183186947471,0.858218318694747,0.9291091593473378,0.952739439564884,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.8588657502568694,0.8582183186947474,0.858541912417828,0.9291870864552605,0.9527845116794916
MLP,MaxAbs,[125. 148. 154. 176.],[46. 60. 48. 40.],[74. 50. 46. 24.],[552. 539. 549. 557.],0.7549309165056994,0.7564038627478267,0.7556666718603681,0.8782936010040152,0.9188765732690136,0.7565872020072707,0.7565872020072707,0.7565872020072707,0.8782936010035741,0.9188624006690359,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.7550698395601462,0.756587202007271,0.7558277592390155,0.8783707409689717,0.918919091068947
MLP,QT,[175. 129. 179. 176.],[59. 26. 40. 13.],[24. 69. 21. 24.],[539. 573. 557. 584.],0.8321724604421094,0.8264780341096164,0.8293154723138192,0.9134253450441657,0.9422887242710462,0.8268506900875013,0.8268506900875013,0.8268506900875013,0.9134253450437071,0.9422835633624618,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.8322780288291006,0.8268506900875019,0.8295554825081646,0.9135292478541072,0.9423042069967992
RF,Normalizer,[135. 126. 152. 154.],[69. 73. 44. 44.],[64. 72. 48. 46.],[529. 526. 553. 553.],0.7120546292216594,0.7111888990404461,0.7116215008279947,0.8557089084067755,0.9038354791377744,0.7114178168128368,0.7114178168128368,0.7114178168128368,0.8557089084063458,0.9038059389375478,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.7123156926137443,0.711417816812837,0.7118664715911514,0.8558317026367062,0.9039240997384539
RF,Standard,[154. 153. 168. 170.],[34. 44. 39. 35.],[45. 45. 32. 30.],[564. 555. 558. 562.],0.8091652944858353,0.8091491548649251,0.8091572245948991,0.9046424090341281,0.9364337385704107,0.8092848180674437,0.8092848180674437,0.8092848180674437,0.9046424090336739,0.9364282726891052,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.8092343628106815,0.8092848180674439,0.8092595896526238,0.9046880632991022,0.936450136214327
RF,MinMax,[157. 160. 160. 167.],[37. 51. 27. 38.],[42. 38. 40. 33.],[561. 548. 570. 559.],0.809455327245067,0.8080063829244155,0.8087302060926721,0.9040150564619825,0.9360268662963545,0.8080301129231539,0.8080301129231539,0.8080301129231537,0.9040150564615287,0.9360100376410084,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.8095839344640073,0.8080301129231539,0.8088062774211973,0.9040583492994582,0.9360773522623925
RF,Robust,[156. 152. 152. 172.],[51. 49. 27. 38.],[43. 46. 48. 28.],[547. 550. 570. 559.],0.7945129310245109,0.7928990914163855,0.7937051908668653,0.896486825596236,0.931008748027893,0.7929736511916758,0.7929736511916758,0.7929736511916758,0.8964868255957859,0.9309912170638457,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.7946603310166354,0.792973651191676,0.7938160951517939,0.8965442869987036,0.9310613409200351
RF,MaxAbs,[154. 146. 161. 178.],[46. 49. 25. 38.],[45. 52. 39. 22.],[552. 550. 572. 559.],0.8020958551600669,0.801560771026549,0.8018282238238766,0.9008782936012548,0.9339365699692599,0.8017565872017046,0.8017565872017046,0.8017565872017046,0.9008782936008025,0.9339188624005239,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.8022700730622564,0.801756587201705,0.802013247942658,0.9009664535612051,0.9339896926754683
RF,QT,[139. 144. 162. 163.],[51. 66. 41. 31.],[60. 54. 38. 37.],[547. 533. 556. 566.],0.7638822438247247,0.7626912973958078,0.7632863060557072,0.8814303638647429,0.9209822661471516,0.7628607277287198,0.7628607277287198,0.7628607277287198,0.8814303638643003,0.9209535759095203,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.7641189304152864,0.7628607277287202,0.7634893107042594,0.8815366281021828,0.9210683368600453
