Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity
MLP,Normalizer,[ 46.  87. 139. 134.],[ 36.  61. 106. 188.],[153. 111.  61.  66.],[562. 538. 491. 409.],0.5330773636730392,0.5088874295720947,0.520701603588291,0.7547051442913426,0.8363751563888641,0.5094102885821739,0.5094102885821739,0.5094102885821739,0.7547051442909637,0.8364700961939484,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.5329049431028858,0.5094102885821743,0.5208928212898518,0.7546209200438901,0.836090336973611
MLP,Standard,[152. 145. 165. 169.],[42. 45. 45. 34.],[47. 53. 35. 31.],[556. 554. 552. 563.],0.7912224125900176,0.7915355819498624,0.7913789662876141,0.8958594730240904,0.9305780923495521,0.791718946047386,0.791718946047386,0.7917189460473861,0.8958594730236407,0.9305729820157488,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.7913025208631141,0.7917189460473861,0.7915106786834301,0.8959161472840584,0.9305934233509622
MLP,MinMax,[114. 141. 162. 163.],[24. 59. 55. 79.],[85. 57. 38. 37.],[574. 540. 542. 518.],0.7377961135826997,0.727496383432085,0.7326100494408607,0.8638644918446676,0.909228278379644,0.7277289836886046,0.7277289836886046,0.7277289836886046,0.8638644918442339,0.9092429945628074,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.7377676335127212,0.7277289836886048,0.7327139262318783,0.8638888932621539,0.9091841298301538
MLP,Robust,[149. 149. 171. 175.],[35. 48. 31. 39.],[50. 49. 29. 25.],[563. 551. 566. 558.],0.8076048622926327,0.8078172427792456,0.8077110385750459,0.9040150564619825,0.9360212711639858,0.8080301129231539,0.8080301129231539,0.8080301129231537,0.9040150564615287,0.9360100376410084,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.8077307614430131,0.8080301129231541,0.807880409452709,0.9040929835694387,0.9360549717329183
MLP,MaxAbs,[ 99. 115. 161. 163.],[48. 49. 66. 96.],[100.  83.  39.  37.],[550. 550. 531. 501.],0.6783209076536685,0.6745738794983278,0.6764422046211251,0.8375156838145547,0.8916431631357756,0.6750313676284315,0.6750313676284315,0.6750313676284315,0.8375156838141342,0.891677122542738,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6782695328868134,0.6750313676284321,0.676646576132424,0.8375526795120338,0.8915412849148885
MLP,QT,[137. 142. 166. 170.],[50. 36. 41. 55.],[62. 56. 34. 30.],[548. 563. 556. 542.],0.7719652631371476,0.7714034820564762,0.7716842703535912,0.8858218318697617,0.9238709432050606,0.7716436637387487,0.7716436637387487,0.7716436637387487,0.885821831869317,0.9238812212461985,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.771949917905754,0.7716436637387489,0.7717967604413222,0.8858580404247414,0.9238401090816468
RF,Normalizer,[128. 135. 164. 138.],[57. 64. 49. 62.],[71. 63. 36. 62.],[541. 535. 548. 535.],0.7075592258333122,0.7087585655548385,0.7081583878928683,0.8544542032624844,0.9029769711925884,0.7089084065242571,0.7089084065242571,0.708908406524257,0.8544542032620555,0.902969468841354,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.707652076355283,0.7089084065242572,0.7082796843278385,0.8545077289524543,0.9029994782462917
RF,Standard,[137. 152. 155. 154.],[48. 57. 38. 56.],[62. 46. 45. 46.],[550. 542. 559. 541.],0.7510638523589357,0.7502797446827598,0.7506715937626401,0.8751568381432875,0.9167799768649585,0.7503136762858216,0.7503136762858216,0.7503136762858217,0.8751568381428481,0.9167712254285514,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.7511367577064785,0.7503136762858216,0.7507249913932897,0.875184388130772,0.9168062311741798
RF,MinMax,[137. 133. 156. 150.],[48. 59. 51. 63.],[62. 65. 44. 50.],[550. 540. 546. 534.],0.7227743535978624,0.7225398456928888,0.7226570806204613,0.8613550815560854,0.9075700429438256,0.7227101631114452,0.7227101631114452,0.7227101631114452,0.861355081555653,0.9075700543704198,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.7228275102523004,0.7227101631114454,0.7227688319188177,0.8613968001085618,0.9075700086640427
RF,Robust,[135. 147. 165. 152.],[48. 56. 36. 58.],[64. 51. 35. 48.],[550. 543. 561. 539.],0.7516369738159601,0.7514540505555571,0.7515455010550557,0.875784190715433,0.9171973391354091,0.7515683814301114,0.7515683814301114,0.7515683814301113,0.8757841907149932,0.9171894604766483,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.7517234608189047,0.7515683814301116,0.7516459131255236,0.8758298449804072,0.9172209751116915
RF,MaxAbs,[134. 151. 149. 147.],[50. 64. 37. 65.],[65. 47. 51. 53.],[548. 535. 560. 532.],0.7312644865479807,0.7289982741990494,0.7301296218823214,0.8644918444168131,0.9096722368183741,0.7289836888328944,0.7289836888328944,0.7289836888328944,0.864491844416379,0.9096612296109042,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.7313408747879915,0.7289836888328944,0.730160379382118,0.8645123101218016,0.9097052584407832
RF,QT,[136. 140. 152. 151.],[60. 60. 37. 61.],[63. 58. 48. 49.],[538. 539. 560. 536.],0.7275936265489221,0.7263719481242336,0.7269822740857144,0.8632371392725221,0.9088361257695352,0.7264742785443148,0.7264742785443148,0.7264742785443148,0.8632371392720887,0.9088247595147105,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.727705174012695,0.7264742785443148,0.7270892053305394,0.8632875163924936,0.9088702245340095
AB,Normalizer,[ 92. 114. 157. 116.],[101.  77.  74.  66.],[107.  84.  43.  84.],[497. 522. 523. 531.],0.5976397233958057,0.6007672833865292,0.5991994222937439,0.8005018820579675,0.8670125592459692,0.6010037641153315,0.6010037641153315,0.6010037641153315,0.8005018820575656,0.8670012547050214,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.5977934473040578,0.6010037641153317,0.5993943071786628,0.8005853191629203,0.8670464728688126
AB,Standard,[ 95. 118. 141. 143.],[62. 79. 78. 81.],[104.  80.  59.  57.],[536. 520. 519. 516.],0.6215771966389005,0.6233366326581171,0.6224556713435375,0.8117942283565873,0.8745257336199295,0.6235884567125485,0.6235884567125485,0.6235884567125485,0.8117942283561798,0.8745294855707655,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6216545699204169,0.6235884567125487,0.6226200116344638,0.8118477540465572,0.8745144777674212
AB,MinMax,[ 88. 114. 140. 133.],[58. 78. 90. 96.],[111.  84.  60.  67.],[540. 521. 507. 501.],0.596492851100445,0.5957421577583935,0.5961172680915791,0.7979924717693853,0.8653088040297423,0.5959849435381721,0.5959849435381721,0.5959849435381721,0.7979924717689846,0.8653283145126339,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.5964918960531104,0.5959849435381724,0.5962383120363778,0.7980082146193763,0.8652502725810675
AB,Robust,[ 93. 109. 148. 138.],[68. 95. 79. 67.],[106.  89.  52.  62.],[530. 504. 518. 530.],0.6092766469011252,0.611960433480422,0.6106155912505068,0.8061480552072774,0.8707834621858577,0.6122961104139399,0.6122961104139399,0.6122961104139399,0.8061480552068726,0.8707653701378935,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6095044546027191,0.6122961104139404,0.6108970932226183,0.8062716365797076,0.8708377383297503
