number,value,datetime_start,datetime_complete,duration,params_model,params_normTechnique,params_sampleTechnique,user_attrs_binIndices,user_attrs_hyperparams,state
0,0.0,2024-07-08 12:33:45.990882,2024-07-08 12:33:49.297910,0 days 00:00:03.307028,MLPClassifier,,,,,COMPLETE
1,0.0,2024-07-08 12:33:46.001907,2024-07-08 12:34:03.289881,0 days 00:00:17.287974,DecisionTreeClassifier,,SVMSMOTE,,"{'max_depth': 200, 'min_samples_split': 100, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'splitter': 'random'}",COMPLETE
2,0.6999999997741935,2024-07-08 12:33:46.084882,2024-07-08 12:34:13.813121,0 days 00:00:27.728239,RandomForestClassifier,RobustScaler,,"[0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1]","{'n_estimators': 200, 'max_features': 'sqrt', 'max_depth': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True}",COMPLETE
3,0.7806451610385015,2024-07-08 12:33:46.114908,2024-07-08 12:34:05.337987,0 days 00:00:19.223079,ExtraTreesClassifier,Normalize_L1_0,,"[0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1]","{'n_estimators': 10, 'max_features': None, 'max_depth': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True}",COMPLETE
4,0.0,2024-07-08 12:33:46.153882,2024-07-08 12:33:50.839883,0 days 00:00:04.686001,RandomForestClassifier,,SMOTETomek,,"{'n_estimators': 500, 'max_features': 'auto', 'max_depth': 100, 'min_samples_split': 200, 'min_samples_leaf': 100, 'bootstrap': False}",COMPLETE
5,0.3193548386066597,2024-07-08 12:33:46.190907,2024-07-08 12:34:05.052948,0 days 00:00:18.862041,DecisionTreeClassifier,Normalize_Max_1,RandomUnderSampler,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0]","{'max_depth': 200, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': None, 'splitter': 'best'}",COMPLETE
6,0.7709677416867845,2024-07-08 12:33:46.223908,2024-07-08 12:34:15.833118,0 days 00:00:29.609210,KNeighborsClassifier,Normalize_L1_1,TomekLinks,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]","{'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'leaf_size': 60, 'p': 2, 'metric': 'euclidean'}",COMPLETE
7,0.0,2024-07-08 12:33:46.255908,2024-07-08 12:34:05.129947,0 days 00:00:18.874039,GradientBoostingClassifier,RobustScaler,RandomUnderSampler,"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1]","{'n_estimators': 200, 'learning_rate': 0.5, 'max_depth': 3, 'min_samples_split': 50, 'min_samples_leaf': 100, 'subsample': 1.0, 'max_features': 'auto'}",COMPLETE
8,0.6451612901144641,2024-07-08 12:33:46.293932,2024-07-08 12:34:05.100948,0 days 00:00:18.807016,KNeighborsClassifier,Normalize_L2_0,SVMSMOTE,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0]","{'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'auto', 'leaf_size': 20, 'p': 1, 'metric': 'euclidean'}",COMPLETE
9,0.0,2024-07-08 12:33:46.296890,2024-07-08 12:33:55.694880,0 days 00:00:09.397990,SVC,StandardScaler,SMOTE,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]","{'C': 1.0, 'kernel': 'linear', 'degree': 5, 'gamma': '0.001', 'coef0': 2.0, 'shrinking': True, 'probability': True, 'class_weight': None, 'decision_function_shape': 'ovr'}",COMPLETE
10,0.0,2024-07-08 12:33:46.349905,2024-07-08 12:34:05.328988,0 days 00:00:18.979083,SVC,,RandomOverSampler,,"{'C': 0.01, 'kernel': 'linear', 'degree': 3, 'gamma': '0.01', 'coef0': 0.5, 'shrinking': False, 'probability': True, 'class_weight': None, 'decision_function_shape': 'ovr'}",COMPLETE
